Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Arcanist;50;2;0;0.962;32.614;96.154;18.991;0;0;3331.619;358.231;0;1212.32;0;19.628;0.231;0;0;0.038;33.308;199.378;0;0;0;0;0
2;WaterMonk;46;2;4;0.923;48.866;92.308;21.607;7.692;7.692;2422.914;1177.722;0;570.531;0;287.224;0;0.192;4.923;0.031;9.885;0.192;0;0;4;20;0
3;Frostbound;46;4;2;0.904;45.986;73.077;18.129;3.846;3.846;2715.104;1575.598;0;417.674;0;417.834;0;0.269;0.269;0.154;16.692;0.269;0;0;0;0;0
4;Defender;44;6;2;0.865;48.083;84.615;24.548;3.846;3.846;1258.32;2539.27;0;239.69;0;1612.093;0;1.754;1.769;0.338;3.538;7.017;0;0;0;0;0
5;Necromancer;43;8;1;0.837;33.639;84.615;27.701;1.923;1.923;1664.909;374.073;0;164.222;0;16.966;0;0;0;0.019;0;0;0;0;0.769;9.231;0
6;Assassin;34;7;11;0.76;37.933;86.538;22.526;21.154;21.154;1675.296;983.224;0;65.117;0;165.696;5.654;0;0;0.231;0;0;0;0;0;0;0
7;Treant;38;12;2;0.75;35.844;73.077;28.993;3.846;7.692;1508.864;2051.286;30.183;58.255;0;1795.328;0;0;0;0.415;0;0;0;0;0;0;0
8;Nightblade;38;12;2;0.75;35.163;69.231;19.118;0;0;2142.568;1194.528;0;58.255;0;170.291;0;0;0;0.038;16.385;89.46;16.385;0;0;0;0
9;LightShepherd;38;14;0;0.731;47.907;73.077;26.425;0;0;1234.615;400.024;0;46.656;51.294;31.207;0;0;0;0;0;0;0;2285.059;2.846;0;0.423
10;Dreameater;36;16;0;0.692;29.693;69.231;25.513;0;0;2330.244;650.828;0;29.874;0;36.133;0;7.786;1.962;0.038;3.923;15.572;1.962;0;0;0;0
11;IronSpearman;32;18;2;0.635;38.349;50;25.778;3.846;3.846;1980.143;1682.713;0;15.033;0;640.367;0;0;1.635;0.208;1.635;1.632;0;0;0;0;0
12;WhirlMonk;26;20;6;0.558;36.147;50;26.337;11.538;15.385;1371.498;1839.2;0;5.77;0;437.72;0;0.704;2.923;0.154;0.962;0.381;0;0;0;0;0
13;Antimage;26;22;4;0.538;36.894;46.154;24.515;3.846;3.846;922.895;2524.771;0;4.514;0;1012.711;0.192;0;0;0.185;3.769;0;0;0;0;0;0
14;Ranger;26;24;2;0.519;36.556;53.846;21.508;3.846;3.846;1994.892;759.244;0;3.521;0;37.318;0;0;0;0.385;5.423;27.074;0;0;0;0;0
15;TrashShieldbearer;24;26;2;0.481;30.062;26.923;24.998;0;0;573.287;2382.261;0;2.119;0;946.343;0;0;0;0.038;0;0;0;0;0;0;0
16;FlameSwordsman;20;26;6;0.442;33.529;23.077;20.694;7.692;7.692;1061.635;1500.751;0;1.245;0;498.329;0;0;0;0;30.462;58.41;11.692;0;0;0;0
17;Cryomancer;20;30;2;0.404;35.424;38.462;21.508;3.846;3.846;1874.988;910.725;0;0.705;0;45.419;0;0.385;0.346;0.246;17.115;0.385;0;0;0;0;0
18;TrashArcher;18;34;0;0.346;28.163;34.615;20.702;0;0;1512.087;689.984;0;0.271;0;41.13;0;0;0;0.154;0;0;0;0;0;0;0
19;Emberkeeper;16;34;2;0.327;26.943;34.615;21.772;3.846;3.846;1302.218;1046.172;0;0.19;0;59.78;0;0;0;0.14;0;0;0;0;34.615;23.077;0.538
20;Druid;14;38;0;0.269;29.531;26.923;24.965;0;0;1495.836;1073.926;0;0.057;10.385;80.246;0;0;0;0.208;9.981;39.576;9.981;45;0.231;0.692;0
21;TrashHerbalist;12;40;0;0.231;24.393;23.077;25.171;0;0;353.155;919.972;0;0.023;273.94;59.479;0;0;0;0.192;0;0;0;993.94;4;0;0
22;TrashBrawler;8;42;2;0.173;27.61;5.769;21.349;3.846;3.846;509.85;1460.59;0;0.005;0;287.113;0;0;0;0;0;0;0;0;0;0;0
23;TrashHexer;8;42;2;0.173;12.58;19.231;20.447;3.846;3.846;559.864;907.428;0;0.005;0;82.677;0;0;0;0.054;1.769;10.604;0;0;0;0;0
24;TrashBonecaller;6;46;0;0.115;8.817;11.538;23.121;0;0;317.435;951.659;0;0.001;0;60.993;0;0;0;0.035;0;0;0;0;0;0;0
25;TrashCutthroat;4;48;0;0.077;23.197;3.846;18.771;0;0;431.27;1117.262;0;0;0;113.228;0;0;0;0;0;0;0;0;0;0;0
26;Geomancer;2;50;0;0.038;1.358;3.846;17.324;0;0;1370.367;1127.714;0;0;247.717;67.556;0;0;0;0.069;0.192;0.577;0.192;247.717;0;0;0
27;BaseRelic;0;52;0;0;0;0;18.573;0;0;224.813;1057.38;0;0;0;150.259;0;0;0;0;0;0;0;0;0;0;0
