Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;FlameSwordsman;20;0;0;1;41.724;100;2067.522;1165.53;0;117.913;0;340.79;0;0;0;3.22;37.7;60;12;0;0;0;0
2;Cryomancer;14;4;2;0.75;22.579;80;2187.616;1109.202;0;4.441;0;64.381;0;72.8;19.3;0.47;19.3;72.8;0;0;0;0;0
3;Assassin;12;4;4;0.7;61.981;80;1994.259;915.031;0;3.212;0;141.279;8.6;0;0;8.86;0;0;0;0;0;0;0
4;Defender;12;8;0;0.6;44.532;60;2386.077;3992.262;0;1.784;0;2379.633;0;3.4;6.8;22.84;13.6;23.8;0;0;0;0;0
5;Treant;12;8;0;0.6;33.216;60;2221.337;2062.713;32.105;1.784;0;1797.467;0;0;0;11.57;0;0;0;0;0;0;0
6;WhirlMonk;12;8;0;0.6;39.936;60;1722.441;1539.701;0;1.784;0;372.569;0;1.84;9.2;4.55;0;0;0;0;0;0;0
7;LightShepherd;8;8;4;0.5;33.835;60;1983;2979.833;0;1.01;1914.944;241.587;0;0;0;7.22;0;0;0;1914.944;0;0;0
8;Ranger;6;10;4;0.4;38.576;50;1663.359;1144.91;0;0.552;0;116.58;0;0;0;3.77;10.4;52;0;0;0;0;0
9;Druid;2;16;2;0.15;10.256;20;1001.852;1394.104;0;0.079;48;103.807;0;0;0;3.87;9.7;38.8;9.7;48;0;0;0
10;BaseRelic;2;18;0;0.1;35.65;10;1295.402;1984.43;0;0.049;0;0;0;0;0;5.27;0;0;0;0;0;0;0
11;IronSpearman;2;18;0;0.1;24.138;10;1618.805;2003.088;0;0.049;0;666.237;0;0;0;6.4;0;0;0;0;0;0;0
