Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Hemomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Antimage;-;D 14%;L;W 52%;W 29%;L;D 21%;W 11%;W 38%;W 24%;L;W 29%;L;L;W 36%;D 0%;W 1%;W 26%;W 56%;W 41%;W 50%;W 46%;W 49%;L;L;W 5%;D 31%
Arcanist;D 5%;-;L;W 41%;W 7%;L;W 32%;D 7%;W 27%;W 6%;L;W 12%;D 7%;L;W 30%;L;L;W 12%;W 52%;W 29%;W 43%;W 38%;W 42%;W 25%;L;D 6%;D 9%
Assassin;W 46%;W 6%;-;W 56%;W 11%;D 3%;D 2%;W 21%;W 32%;W 22%;W 14%;W 28%;W 7%;W 47%;W 47%;L;W 36%;W 46%;W 41%;W 52%;W 54%;W 53%;W 48%;W 55%;D 7%;D 5%;D 14%
BaseRelic;L;L;L;-;L;L;L;L;L;L;L;L;L;L;L;L;L;L;D 18%;L;L;L;L;L;L;L;L
Cryomancer;L;L;L;W 44%;-;L;W 32%;L;W 29%;L;L;W 20%;L;L;W 32%;L;L;W 21%;W 52%;W 33%;W 41%;W 40%;W 44%;L;L;L;D 6%
Defender;W 51%;W 42%;D 30%;W 61%;W 32%;-;D 23%;W 32%;W 48%;W 38%;W 20%;W 39%;L;W 24%;W 49%;W 9%;W 30%;W 48%;W 70%;W 52%;W 62%;W 57%;W 62%;W 47%;W 33%;W 14%;W 33%
Dreameater;D 6%;L;D 20%;W 29%;L;D 7%;-;L;L;D 7%;L;W 5%;L;L;L;L;L;L;W 38%;D 6%;W 16%;W 28%;W 25%;D 5%;D 5%;L;D 7%
Druid;L;D 6%;L;W 41%;W 16%;L;W 51%;-;W 32%;L;L;W 36%;L;L;W 64%;L;L;W 31%;W 70%;W 49%;W 36%;W 63%;W 70%;L;L;L;D 21%
Emberkeeper;L;L;L;W 36%;L;L;W 31%;L;-;L;L;W 8%;L;L;L;L;L;L;W 44%;W 13%;W 38%;W 30%;W 36%;L;L;L;L
FlameSwordsman;L;L;L;W 40%;W 4%;L;D 27%;W 17%;W 14%;-;L;W 16%;L;L;W 29%;L;L;W 13%;W 52%;W 28%;W 37%;W 49%;W 47%;D 0%;L;L;D 4%
Frostbound;W 25%;W 34%;L;W 54%;W 31%;L;W 49%;W 32%;W 44%;W 28%;-;W 32%;L;D 17%;W 45%;L;W 25%;W 39%;W 61%;W 47%;W 52%;W 52%;W 55%;W 31%;L;W 15%;D 35%
Hemomancer;L;L;L;W 26%;L;L;L;L;L;L;L;-;L;L;L;L;L;D 14%;W 27%;W 9%;W 21%;W 19%;D 28%;L;L;L;L
IronSpearman;W 29%;D 23%;L;W 43%;W 33%;W 10%;W 54%;W 22%;W 42%;W 18%;W 22%;W 29%;-;W 25%;W 52%;L;W 25%;W 43%;W 63%;W 36%;W 39%;W 53%;W 56%;W 28%;L;L;W 27%
LightShepherd;W 43%;W 31%;L;W 55%;W 35%;L;W 50%;W 42%;W 54%;W 40%;D 10%;W 39%;L;-;W 54%;D 11%;W 35%;W 42%;W 64%;W 54%;W 53%;W 53%;W 62%;W 44%;W 10%;W 32%;W 29%
Necromancer;L;L;L;W 39%;L;L;W 11%;L;W 6%;L;L;W 13%;L;L;-;L;L;L;W 36%;W 15%;W 33%;W 25%;W 31%;L;L;L;L
Nightblade;D 0%;W 33%;W 32%;W 51%;W 31%;L;W 48%;W 27%;W 36%;W 33%;W 0%;W 30%;W 8%;D 27%;W 45%;-;W 18%;W 35%;W 60%;W 38%;W 50%;W 55%;W 53%;W 30%;L;W 0%;W 27%
Ranger;L;W 17%;L;W 51%;W 25%;L;W 46%;W 18%;W 36%;W 9%;L;W 29%;L;L;W 39%;L;-;W 33%;W 57%;W 36%;W 46%;W 45%;W 50%;W 22%;L;L;D 19%
TrashArcher;L;L;L;W 36%;L;L;W 27%;L;W 21%;L;L;D 5%;L;L;W 19%;L;L;-;W 45%;W 22%;W 27%;W 30%;W 37%;W 8%;L;L;L
TrashBonecaller;L;L;L;D 5%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;-;L;L;L;L;L;L;L;L
TrashBrawler;L;L;L;W 31%;L;L;D 28%;L;L;L;L;L;L;L;L;L;L;L;W 41%;-;W 17%;L;D 28%;L;L;L;L
TrashCutthroat;L;L;L;W 5%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;W 31%;L;-;L;D 8%;L;L;L;L
TrashHerbalist;L;L;L;W 34%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;W 43%;W 8%;W 6%;-;W 27%;L;L;L;L
TrashHexer;L;L;L;W 7%;L;L;L;L;L;L;L;D 5%;L;L;L;L;L;L;W 26%;D 6%;D 5%;L;-;L;L;L;L
TrashShieldbearer;W 1%;L;L;W 46%;W 19%;L;D 24%;W 6%;W 26%;D 0%;L;W 27%;L;L;W 36%;L;L;L;W 54%;W 35%;W 41%;W 39%;W 47%;-;L;L;L
Treant;W 26%;W 26%;D 2%;W 50%;W 28%;L;D 14%;W 35%;W 42%;W 28%;W 17%;W 40%;W 16%;L;W 40%;W 17%;W 29%;W 41%;W 56%;W 45%;W 45%;W 50%;W 52%;W 24%;-;W 22%;D 31%
WaterMonk;L;D 5%;D 15%;W 55%;W 28%;L;W 46%;W 32%;W 35%;W 37%;L;W 21%;W 25%;L;W 37%;L;W 1%;W 32%;W 58%;W 46%;W 52%;W 52%;W 51%;W 26%;L;-;D 35%
WhirlMonk;D 8%;D 8%;D 4%;W 51%;D 2%;L;D 31%;D 6%;W 33%;D 5%;D 4%;W 30%;L;L;W 31%;L;D 5%;W 24%;W 56%;W 30%;W 48%;W 48%;W 48%;W 25%;D 6%;D 4%;-
