PairA;PairB;Synergy_2v2;Synergy_4v4;Synergy_6v6;SynergyAvg
FlameSwordsman;LightShepherd;38.401;7.176;5.027;16.868
BaseRelic;WhirlMonk;-2.376;19.11;9.161;8.632
BaseRelic;FlameSwordsman;9.994;12.663;0;7.552
Druid;FlameSwordsman;9.392;12.221;-1.451;6.721
Ranger;WhirlMonk;-3.497;12.449;9.579;6.177
IronSpearman;Ranger;-2.527;7.428;8.302;4.401
Assassin;Cryomancer;-0.368;-12.148;24.777;4.087
IronSpearman;LightShepherd;27.768;-11.929;-9.893;1.982
FlameSwordsman;Ranger;1.317;0;0;0.439
Ranger;Treant;-6.088;4.248;2.773;0.311
LightShepherd;Ranger;-8.446;3.594;4.873;0.007
Assassin;Ranger;-6.387;1.127;5;-0.087
Defender;Ranger;-5.187;0;2.317;-0.957
Cryomancer;IronSpearman;1.235;-1.895;-2.29;-0.983
Druid;Ranger;-3.82;3.446;-3.326;-1.233
Cryomancer;WhirlMonk;-3.497;0.338;-0.882;-1.347
BaseRelic;Ranger;-4.574;0.223;0;-1.45
BaseRelic;LightShepherd;0;-6.46;0.039;-2.14
FlameSwordsman;WhirlMonk;-1.432;5.319;-15.829;-3.981
BaseRelic;Druid;0;-12.427;-0.057;-4.161
Cryomancer;FlameSwordsman;6.708;-14.073;-6.825;-4.73
Cryomancer;Ranger;-5.39;-15.464;6.557;-4.766
BaseRelic;Cryomancer;0;-12.835;-7.395;-6.743
IronSpearman;WhirlMonk;-24.838;3.561;-1.448;-7.575
FlameSwordsman;Treant;-24.542;1.31;-0.206;-7.813
Cryomancer;Druid;-7.376;-11.525;-4.668;-7.856
BaseRelic;IronSpearman;-34.545;8.756;1.944;-7.949
Defender;FlameSwordsman;-10.786;-4.952;-8.145;-7.961
Assassin;Druid;-19.286;-9.632;4.266;-8.217
Druid;Treant;-1.289;-11.774;-12.236;-8.433
Cryomancer;Treant;-7.376;-14.92;-6.41;-9.568
Cryomancer;Defender;-9.564;-14.43;-5.254;-9.749
Druid;WhirlMonk;-25.715;2.612;-6.189;-9.764
Cryomancer;LightShepherd;-21.026;-10.004;1.073;-9.985
Assassin;FlameSwordsman;-28.73;-4.5;0.708;-10.841
FlameSwordsman;IronSpearman;-30.999;-6.408;3.396;-11.337
BaseRelic;Treant;-32.479;-1.948;0;-11.476
Defender;Druid;-5.225;-18.946;-11.527;-11.899
Assassin;BaseRelic;-23.81;-12.665;0;-12.158
Assassin;LightShepherd;-19.964;-11.836;-6.115;-12.638
Druid;IronSpearman;-26.577;-8.259;-7.557;-14.131
LightShepherd;WhirlMonk;-15.82;-13.291;-20.577;-16.562
Druid;LightShepherd;-13.65;-18.546;-18.552;-16.916
LightShepherd;Treant;-7.28;-23.706;-22.052;-17.679
Defender;LightShepherd;-12.67;-22.452;-18.167;-17.763
Assassin;WhirlMonk;-41.385;-18.591;4.551;-18.475
Assassin;IronSpearman;-63.084;-14.532;17.628;-19.996
IronSpearman;Treant;-51.264;-6.504;-7.17;-21.646
BaseRelic;Defender;-52.093;-9.428;-5.4;-22.307
Assassin;Treant;-43.781;-25.035;-2.548;-23.788
Treant;WhirlMonk;-42.506;-11.362;-17.937;-23.935
Defender;IronSpearman;-42.081;-18.349;-16.49;-25.64
Assassin;Defender;-39.686;-34.096;-6.873;-26.885
Defender;WhirlMonk;-47.934;-17.477;-28.358;-31.256
Defender;Treant;-66.752;-43.791;-44.517;-51.687
