Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;Nightblade;50;2;0;96.154;42.824;76.923;24.578;0;0;3266.707;1025.087;0;560.854;0;146.053;0;0;0;0;25.231;138.221;25.231;0;0;0;0;0;0
2;WaterMonk;48;4;0;92.308;39.662;59.615;31.189;0;0;2644.554;1658.756;0;274.412;0;450.112;0;0;6.365;0.054;29.904;68.162;0;0;772.253;24.76;1.077;5.385;0
3;LightShepherd;44;8;0;84.615;48.663;84.615;38.756;0;0;1828.846;195.558;0;100.03;10.378;14.096;0;0;0;0;0;0;0;3183.568;0;82.144;4.692;0;0.769
4;Druid;44;8;0;84.615;46.575;80.769;32.994;0;0;1878.835;355.9;0;100.03;41.538;24.403;0;0;0;0;12.962;51.068;12.962;1390.42;0;42.141;4.385;13.154;0
5;Defender;42;10;0;80.769;42.236;30.769;31.755;0;0;1278.003;2827.81;0;66.002;0;1919.277;0;1.596;1.596;0.308;3.192;6.385;0;0;460.16;14.491;0;0;0
6;Assassin;41;11;0;78.846;41.693;36.538;34.179;0;3.846;2122.776;1412.222;0;54.193;0;240.164;6.962;0;0;0.423;0;0;0;0;0;0;0;0;0
7;Treant;40;12;0;76.923;28.236;46.154;33.877;0;0;1714.911;2652.724;31.97;44.704;0;2582.609;0;0;0;0.554;0;0;0;0;0;0;0;0;0
8;IronSpearman;40;12;0;76.923;32.772;26.923;33.205;0;0;2047.316;1999.979;0;44.704;0;797.287;0;0;1.173;0.154;1.173;1.173;0;0;92.349;2.781;0;0;0
9;Emberkeeper;34;16;2;67.308;29.001;57.692;34.449;3.846;3.846;1833.943;847.301;0;17.461;64.058;50.055;0;0;0;0;0;0;0;147.75;0;3.488;40.769;40.769;1
10;Frostbound;35;17;0;67.308;35.822;9.615;32.664;0;0;1903.193;2046.228;0;17.461;0;589.573;0;0.25;0.25;0;13.115;0.25;0;0;0;0;0;0;0
11;Arcanist;33;19;0;63.462;24.735;59.615;33.91;0;0;3900.754;790.341;0;11.855;0;45.095;0.135;0;0;0.154;79.481;474.718;0;0;6.132;0.181;0;0;0
12;Necromancer;32;20;0;61.538;33.204;61.538;37.097;0;0;999.692;670.023;0;9.697;0;27.149;0;0;0;0;0;0;0;0;46.923;1.265;1.077;12.923;0
13;WhirlMonk;31;21;0;59.615;34.029;0;31.947;0;0;1789.81;2049.433;0;7.876;0;509.9;0;0.881;3.692;0;1.481;0.588;0;0;0;0;0;0;0
14;FlameSwordsman;30;22;0;57.692;28.409;0;34.017;0;0;1452.252;1573.219;0;6.341;0;564.42;0;0;0;0;38.077;72.583;14.615;0;0;0;0;0;0
15;Ranger;24;26;2;48.077;26.802;46.154;39.056;3.846;7.692;2953.872;971.98;0;1.742;0;50.65;0;0;0;0.231;6.635;32.967;0;0;0;0;0;0;0
16;Antimage;22;30;0;42.308;25.271;7.692;32.763;0;0;855.263;3023.959;0;0.651;0;1164.709;0.462;0;0;0.438;3.192;0;0;0;0;0;0;0;0
17;Cryomancer;20;32;0;38.462;27.231;34.615;36.205;0;0;2794.6;1011.572;0;0.318;0;53.214;0;2.346;2.192;0.192;31.154;2.346;0;0;0;0;0;0;0
18;Dreameater;16;36;0;30.769;24.942;26.923;37.49;0;0;1758.776;1107.572;0;0.077;0;68.572;0;11.29;2.846;0.038;5.692;22.579;2.846;0;0;0;0;0;0
19;TrashShieldbearer;16;36;0;30.769;23.065;3.846;32.427;0;0;414.062;2366.227;0;0.077;0;941.103;0;0;0;0.154;0;0;0;0;233.388;7.197;0;0;0
20;TrashHexer;14;38;0;26.923;25.498;19.231;34.008;0;0;850.309;832.139;0;0.039;0;70.786;0;0;0;0;2;11.867;0;0;0;0;0;0;0
21;TrashArcher;12;40;0;23.077;25.098;19.231;33.867;0;0;2231.983;855.046;0;0.02;0;56.679;0;0;0;0.154;0;0;0;0;0;0;0;0;0
22;TrashBonecaller;10;42;0;19.231;25.387;19.231;34.794;0;0;238.948;872.462;0;0.01;0;56.893;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Hemomancer;8;44;0;15.385;22.474;15.385;28.338;0;0;2993.589;1655.429;0;0.005;161.638;98.404;0;0;0;0.092;0.038;0.115;0.038;161.638;0;5.704;0;0;0
24;TrashBrawler;6;46;0;11.538;22.026;0;32.305;0;0;519.539;1460.331;0;0.002;0;299.978;0;0;0;0;0;0;0;0;0;0;0;0;0
25;TrashHerbalist;4;48;0;7.692;9.401;3.846;40.722;0;0;473.577;1014.155;0;0.001;260.99;67.299;0;0;0;0;0;0;0;1458.682;0;35.821;6.654;0;0
26;BaseRelic;2;50;0;3.846;0.505;0;30.101;0;0;274.118;1058.568;0;0;0;155.295;0;0;0;0;0;0;0;0;0;0;0;0;0
27;TrashCutthroat;2;50;0;3.846;15.639;0;29.439;0;0;311.223;1134.273;0;0;0;120.251;0;0;0;0;0;0;0;0;0;0;0;0;0
