Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
Treant;Tank;Defender;W;48.976;0;48.976;56.1
Druid;Support;LightShepherd;W;44.437;0;44.437;61.033
Assassin;Assassin;—;timeout;25.173;25.173;0;240
Cryomancer;Ranged;Cryomancer;timeout;25.173;25.173;0;240
Defender;Tank;Defender;timeout;25.173;25.173;0;240
FlameSwordsman;Assassin;—;timeout;25.173;25.173;0;240
LightShepherd;Support;LightShepherd;timeout;25.173;25.173;0;240
WhirlMonk;Bruiser;WhirlMonk;timeout;25.173;25.173;0;240
IronSpearman;Bruiser;WhirlMonk;timeout;47.047;47.36;-0.313;240
BaseRelic;Bruiser;WhirlMonk;timeout;14.985;48.217;-33.232;240
Ranger;Ranged;Cryomancer;L;0;56.196;-56.196;41.133
