Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Treant;16;0;4;0.9;29.13;90;35.588;20;20;2927.655;2176.562;52.706;13.013;0;2214.638;0;0;0;5.2;0;0;0;0;0;0;0
2;Defender;16;2;2;0.85;45.065;90;28.2;10;10;1230.38;3138.762;0;8.645;0;2103.658;0;2.15;4.3;4.4;8.6;15.05;0;0;0;0;0
3;IronSpearman;12;4;4;0.7;18.664;10;28.883;20;20;2248.796;2048.183;0;3.323;0;798.252;0;0;0;3.28;0;0;0;0;0;0;0
4;WhirlMonk;6;2;12;0.6;19.298;50;28.867;60;60;1941.416;1997.214;0;1.952;0;491.666;0;1;7;2.3;0;0;0;0;0;0;0
5;Assassin;8;6;6;0.55;37.28;70;29.51;30;30;2314.326;1327.573;0;1.516;0;244.963;7.3;0;0;3.84;0;0;0;0;0;0;0
6;Druid;4;4;12;0.5;15.556;70;35.367;60;60;1824.177;1115.712;0;1.18;18;82.539;0;0;0;3;10.2;40.8;10.2;84;0.4;1.2;0
7;LightShepherd;4;6;10;0.45;42.375;70;35.893;50;50;1610;1444.958;0;0.917;929.581;108.408;0;0;0;1.6;0;0;0;3681.052;0;0;0
8;Cryomancer;6;10;4;0.4;17.157;50;38.788;20;20;3000.806;1144.755;0;0.708;0;60.659;0;90.8;26.7;0.1;26.7;90.8;0;0;0;0;0
9;FlameSwordsman;4;10;6;0.35;5.2;40;28.181;30;30;1434.727;1459.431;0;0.54;0;548.152;0;0;0;0.88;28.4;53;10.6;0;0;0;0
10;Ranger;2;14;4;0.2;17.15;30;29.65;20;20;2554.046;1298.463;0;0.204;0;72.877;0;0;0;2.85;11.3;56.5;0;0;0;0;0
11;BaseRelic;0;20;0;0;0;0;26.35;0;0;927.675;2067.455;0;0.011;0;0;0;0;0;0.88;0;0;0;0;0;0;0
