Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
WaterMonk;Bruiser;WhirlMonk;W;39.206;0;39.206;29.2
Defender;Tank;Treant;W;29.986;0;29.986;30.767
Arcanist;Ranged;TrashArcher;W;27.877;0;27.877;30.633
Cryomancer;Ranged;TrashArcher;W;21.172;0;21.172;33.767
Necromancer;Support;Emberkeeper;W;9.672;0;9.672;149.85
Dreameater;Ranged;TrashArcher;W;7.562;0;7.562;41.6
LightShepherd;Healer;—;timeout;12.511;12.511;0;240
Treant;Tank;Treant;timeout;12.511;12.511;0;240
TrashHerbalist;Healer;—;timeout;12.511;12.511;0;240
TrashCutthroat;Assassin;—;timeout;12.511;12.511;0;240
TrashArcher;Ranged;TrashArcher;timeout;12.511;12.511;0;240
Nightblade;Assassin;—;timeout;12.511;12.511;0;240
WhirlMonk;Bruiser;WhirlMonk;timeout;12.511;12.511;0;240
FlameSwordsman;Assassin;—;timeout;12.511;12.511;0;240
Emberkeeper;Support;Emberkeeper;timeout;12.511;12.511;0;240
Assassin;Assassin;—;timeout;12.511;12.511;0;240
IronSpearman;Bruiser;WhirlMonk;L;0;10.902;-10.902;96.2
Ranger;Ranged;TrashArcher;L;0;17.613;-17.613;37.833
Druid;Support;Emberkeeper;L;0;21.901;-21.901;36.2
Antimage;Tank;Treant;L;0;22.765;-22.765;31.367
TrashShieldbearer;Tank;Treant;L;0;24.474;-24.474;28.867
Frostbound;Bruiser;WhirlMonk;L;0;24.916;-24.916;40
TrashHexer;Support;Emberkeeper;L;0;26.541;-26.541;34.9
TrashBonecaller;Support;Emberkeeper;L;0;29.019;-29.019;60.2
Hemomancer;Ranged;TrashArcher;L;0;33.16;-33.16;48.2
TrashBrawler;Bruiser;WhirlMonk;L;0;35.096;-35.096;34.067
BaseRelic;Bruiser;WhirlMonk;L;0;40.474;-40.474;31.833
