Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;Nightblade;52;0;0;100;56.857;100;9.462;0;0;1619.356;647.148;0;2067.176;0;88.921;0;0;0;0.038;10.038;55.742;10.038;0;0;0;0;0;0
2;Frostbound;48;2;2;94.231;61.501;96.154;12.713;3.846;3.846;1713.306;848.101;0;173.804;0;213.78;0;1.308;1.154;0.108;11.615;1.308;0;0;0;0;0;0;0
3;WaterMonk;46;4;2;90.385;59.448;92.308;16.597;3.846;3.846;1704.776;982.129;0;69.884;0;249.393;0;0.962;4.846;0.415;19.423;43.014;0;0;149.733;5.944;0;0;0
4;FlameSwordsman;42;6;4;84.615;42.291;88.462;12.742;7.692;7.692;1605.589;990.158;0;26.186;0;249.98;0;0;0;0.223;42;75.303;15.462;0;0;0;0;0;0
5;Assassin;36;2;14;82.692;76.196;96.154;14.056;26.923;26.923;1532.835;661.638;0;20.023;0;87.737;5.654;0;0;0.531;0;0;0;0;0;0;0;0;0
6;Defender;36;12;4;73.077;68.934;76.923;32.041;7.692;11.538;1620.765;1773.377;0;6.672;0;1042.73;0;2.621;2.654;1.331;5.308;10.481;0;0;552.904;11.51;0;0;0
7;WhirlMonk;34;10;8;73.077;65.049;80.769;16.633;15.385;15.385;1551.505;1134.368;0;6.672;0;252.361;0;0.6;2.346;0.654;0.654;0.262;0;0;0;0;0;0;0
8;Ranger;36;16;0;69.231;50.531;69.231;13.467;0;0;1395.228;865.735;0;4.605;0;42.318;0;0;0;0.092;1.731;8.627;0;0;0;0;0;0;0
9;Treant;33;15;4;67.308;48.2;71.154;33.601;7.692;13.462;1890.987;1658.665;25.152;3.859;0;1210.925;0;0;0;1.869;0;0;0;0;0;0;0;0;0
10;Dreameater;28;14;10;63.462;33.926;73.077;28.871;19.231;19.231;1318.654;1041.787;0;2.741;0;67.733;0;8.368;2.115;0.038;4.231;16.736;2.115;0;0;0;0;0;0
11;Arcanist;30;18;4;61.538;40.517;65.385;15.042;7.692;7.692;4531.151;1099.588;0;2.32;0;72.26;1.135;0;0;0.3;42.962;254.226;0;0;119.825;3.704;0;0;0
12;Cryomancer;30;20;2;59.615;45.042;61.538;13.687;3.846;3.846;1266.358;963.074;0;1.967;0;58.32;0;0.654;0.462;0.231;12.538;0.654;0;0;0;0;0;0;0
13;IronSpearman;30;22;0;57.692;55.918;57.692;22.874;0;0;1427.599;1411.734;0;1.67;0;425.273;0;0;0.346;0.877;0.346;0.346;0;0;27.076;1.184;0;0;0
14;Necromancer;22;23;7;49.038;46.108;51.923;50.109;13.462;26.923;711.185;1086.713;0;0.803;0;48.219;0;0;0;0.3;0;0;0;0;36.154;0.478;0.038;0.462;0
15;Antimage;24;28;0;46.154;55.669;46.154;37.994;0;5.769;1609.232;2266.562;0;0.629;0;834.95;0.577;0;0;1.523;5.5;0;0;0;0;0;0;0;0
16;Hemomancer;20;28;4;42.308;22.276;46.154;7.519;7.692;7.692;2607.966;651.993;0;0.453;500.693;42.619;0;0;0;0.038;0;0;0;500.693;0;19.71;0;0;0
17;TrashCutthroat;20;30;2;40.385;44.425;42.308;12.595;3.846;3.846;1100.698;915.914;0;0.383;0;80.106;0;0;0;0.346;0;0;0;0;0;0;0;0;0
18;Emberkeeper;14;32;6;32.692;47.737;38.462;17.997;11.538;11.538;1291.969;1286.35;0;0.195;231.192;81.993;0;0;0;0.119;0;0;0;231.192;0;5.301;0;0;0.423
19;Druid;10;32;10;28.846;59.59;38.462;33.819;19.231;26.923;1483.857;1610.229;0;0.137;493.707;118.087;0;0;0;0.531;12.058;47.556;12.058;493.707;0;6.72;0;0;0
20;TrashShieldbearer;14;36;2;28.846;44.411;30.769;46.113;3.846;15.385;1648.336;2886.864;0;0.137;0;998.514;0;0;0;1.485;0;0;0;0;1011.601;18.884;0;0;0
21;LightShepherd;10;35;7;25.962;53.271;32.692;26.041;13.462;19.231;1297.01;1441.844;0;0.104;574.939;107.755;0;0;0;0.4;0;0;0;574.939;0;10.483;0;0;0.269
22;TrashArcher;10;38;4;23.077;52.503;26.923;18.711;7.692;11.538;1083.463;856.144;0;0.079;0;50.14;0;0;0;0.192;0;0;0;0;0;0;0;0;0
23;TrashBrawler;10;42;0;19.231;44.982;19.231;21.433;0;0;1157.495;1338.756;0;0.053;0;225.565;0;0;0;0.569;0;0;0;0;0;0;0;0;0
24;TrashBonecaller;4;40;8;15.385;14.33;23.077;21.764;15.385;19.231;170.918;921.692;0;0.034;0;53.329;0;0;0;0.362;0;0;0;0;0;0;0;0;0
25;TrashHerbalist;4;44;4;11.538;28.131;15.385;32.561;7.692;15.385;749.416;2178.798;0;0.021;1501.305;127.089;0;0;0;0.438;0;0;0;1501.305;0;30.943;0;0;0
26;TrashHexer;0;46;6;5.769;0;11.538;17.025;11.538;15.385;487.686;945.037;0;0.008;0;71.283;0;0;0;0.346;0.769;4.413;0;0;0;0;0;0;0
27;BaseRelic;2;50;0;3.846;33.043;3.846;18.328;0;0;743.011;1055.102;0;0.006;0;130.101;0;0;0;0.346;0;0;0;0;0;0;0;0;0
