Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength
1;Treant;16;0;4;0.9;31.213;70;2946.03;2265.473;56.018;13.791
2;Druid;14;0;6;0.85;31.502;90;3132.74;480.402;0;9.162
3;Defender;12;6;2;0.65;41.364;60;1096.428;3294.581;0;2.667
4;LightShepherd;10;4;6;0.65;35.594;80;1226;736.708;0;2.667
5;IronSpearman;8;6;6;0.55;16.168;10;2371.39;2010.804;0;1.578
6;Assassin;10;8;2;0.55;35.971;60;2294.66;1305.952;0;1.578
7;FlameSwordsman;8;8;4;0.5;27.364;60;2060.504;1838.148;0;1.218
8;WhirlMonk;4;8;8;0.4;33.737;40;2021.346;2013.902;0;0.713
9;Cryomancer;4;14;2;0.25;29.821;30;2877.207;1110.745;0;0.281
10;Ranger;2;14;4;0.2;36.842;30;1910.738;1167.724;0;0.191
11;BaseRelic;0;20;0;0;0;0;455.93;1234.3;0;0.01
