Left \ Right;Assassin;BaseRelic;Cryomancer;Defender;Druid;FlameSwordsman;IronSpearman;LightShepherd;Ranger;Treant;WhirlMonk
Assassin;-;W 55%;D 3%;W 42%;L;L;W 20%;W 32%;W 33%;L;W 18%
BaseRelic;L;-;L;L;L;L;L;L;L;L;L
Cryomancer;D 4%;W 42%;-;L;D 2%;L;L;L;W 3%;L;L
Defender;L;W 60%;W 20%;-;W 11%;W 4%;W 42%;W 38%;W 35%;W 21%;D 4%
Druid;W 1%;W 45%;D 19%;L;-;L;D 6%;W 35%;W 30%;L;L
FlameSwordsman;W 16%;W 50%;W 26%;L;W 4%;-;L;D 30%;W 40%;L;W 0%
IronSpearman;L;W 46%;W 15%;L;D 8%;W 6%;-;W 31%;W 28%;L;W 15%
LightShepherd;L;W 45%;W 25%;L;L;D 2%;L;-;W 28%;L;L
Ranger;L;W 39%;L;L;L;L;L;L;-;L;L
Treant;W 8%;W 48%;W 23%;L;W 17%;W 26%;W 28%;W 29%;W 36%;-;W 32%
WhirlMonk;L;W 44%;W 17%;D 7%;W 21%;L;L;W 33%;W 30%;L;-
