Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Arcanist;50;2;0;96.154;33.909;96.154;18.654;0;0;3235.129;329.383;0;1558.101;0;19.476;0.192;0;0;0.038;32.154;191.144;0;0;0;0;0
2;Frostbound;48;2;2;94.231;46.342;76.923;15.841;3.846;3.846;2703.536;1540.125;0;1011.123;0;409.823;0;0.269;0.269;0.154;16.654;0.269;0;0;0;0;0
3;WaterMonk;46;2;4;92.308;50.338;92.308;21.279;7.692;7.692;2385.064;1063.765;0;691.988;0;268.822;0;0.154;4.673;0.031;25.269;63.474;0;0;4.058;20.288;0
4;Defender;44;6;2;86.538;49.401;84.615;24.56;3.846;3.846;1252.237;2496.258;0;263.751;0;1607.221;0;1.724;1.769;0.338;3.538;6.895;0;0;0;0;0
5;Nightblade;40;10;2;78.846;35.33;73.077;19.193;0;0;2180.126;1177.461;0;90.967;0;169.046;0;0;0;0.038;16.788;90.803;16.788;0;0;0;0
6;Treant;40;10;2;78.846;35.926;76.923;27.493;3.846;7.692;1486.63;1987.947;29.24;90.967;0;1770.789;0;0;0;0.415;0;0;0;0;0;0;0
7;Assassin;36;6;10;78.846;37.11;88.462;23.09;19.231;19.231;1724.286;990.973;0;90.967;0;166.98;5.885;0;0;0.231;0;0;0;0;0;0;0
8;LightShepherd;38;14;0;73.077;49.63;73.077;26.389;0;0;1226.923;400.024;0;44.018;51.294;31.207;0;0;0;0;0;0;0;2246.359;2.808;0;0.577
9;Dreameater;38;14;0;73.077;29.915;73.077;25.704;0;0;2345.474;599.303;0;44.018;0;34.094;0;7.663;1.962;0.038;3.923;15.326;1.962;0;0;0;0
10;IronSpearman;34;16;2;67.308;39.214;53.846;23.419;3.846;3.846;1933.168;1628.098;0;21.496;0;630.068;0;0;1.615;0.208;1.615;1.61;0;0;0;0;0
11;WhirlMonk;27;18;7;58.654;36.161;53.846;26.426;13.462;17.308;1374.21;1811.739;0;7.244;0;431.951;0;0.664;2.788;0.154;0.885;0.341;0;0;0;0;0
12;Antimage;28;20;4;57.692;36.47;50;24.975;3.846;3.846;953.97;2504.913;0;6.415;0;1002.965;0.192;0;0;0.185;3.885;0;0;0;0;0;0
13;Ranger;28;22;2;55.769;36.415;57.692;21.595;3.846;3.846;1997.091;708.565;0;5.028;0;35.329;0;0;0;0.385;5.481;27.117;0;0;0;0;0
14;TrashShieldbearer;26;24;2;51.923;29.886;30.769;25.322;0;0;589.223;2382.831;0;3.076;0;948.424;0;0;0;0.038;0;0;0;0;0;0;0
15;FlameSwordsman;22;26;4;46.154;31.731;19.231;31.414;3.846;7.692;1093.374;1501.636;0;1.434;0;499.795;0;0;0;0;31.385;59.891;12.077;0;0;0;0
16;Necromancer;22;29;1;43.269;25.052;44.231;30.865;1.923;1.923;763.091;967.634;0;0.957;0;37.005;0;0;0;0.154;0;0;0;0;0.75;9;0
17;Cryomancer;21;29;2;42.308;35.275;40.385;22.937;3.846;3.846;1965.761;882.059;0;0.832;0;44.751;0;0.423;0.385;0.246;17.865;0.423;0;0;0;0;0
18;TrashArcher;19;33;0;36.538;27.686;36.538;21.705;0;0;1610.473;679.606;0;0.332;0;39.943;0;0;0;0.154;0;0;0;0;0;0;0
19;Emberkeeper;16;36;0;30.769;30.713;30.769;30.757;0;3.846;1357.117;1168.49;0;0.109;115.731;72.873;0;0;0;0.005;0;0;0;160.519;23.846;23.846;0.538
20;Druid;14;38;0;26.923;30.028;26.923;26.26;0;0;1565.522;1078.596;0;0.047;13.846;80.078;0;0;0;0.208;10.462;41.476;10.462;48.462;0.231;0.692;0
21;TrashHerbalist;12;40;0;23.077;25.157;23.077;25.553;0;0;358.319;923.542;0;0.019;273.94;60.036;0;0;0;0.192;0;0;0;1007.786;4.077;0;0
22;TrashHexer;8;42;2;17.308;13.679;19.231;20.691;3.846;3.846;567.26;902.522;0;0.004;0;80.948;0;0;0;0.054;1.769;10.549;0;0;0;0;0
23;TrashBrawler;8;42;2;17.308;28.354;7.692;21.812;3.846;3.846;516.036;1456.763;0;0.004;0;285.389;0;0;0;0;0;0;0;0;0;0;0
24;TrashCutthroat;6;46;0;11.538;26.92;3.846;17.858;0;0;450.549;1124.312;0;0.001;0;114.486;0;0;0;0;0;0;0;0;0;0;0
25;TrashBonecaller;2;48;2;5.769;6.161;7.692;24.23;3.846;3.846;171.714;975.365;0;0;0;63.156;0;0;0;0.035;0;0;0;0;0;0;0
26;Hemomancer;2;50;0;3.846;1.358;3.846;19.385;0;0;1407.376;1133.932;0;0;253.591;68.155;0;0;0;0.069;0.192;0.577;0.192;253.591;0;0;0
27;BaseRelic;0;50;2;1.923;0;0;17.858;3.846;3.846;228.881;1060.91;0;0;0;150.459;0;0;0;0;0;0;0;0;0;0;0
