Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;BTStrength
1;Treant;18;0;2;0.95;37.71;100;26.285
2;Druid;15;3;2;0.8;35.313;85;6.513
3;LightShepherd;14;3;3;0.775;52.307;85;5.449
4;Defender;12;5;3;0.675;41.41;55;2.863
5;FlameSwordsman;5;3;12;0.55;29.708;80;1.408
6;Assassin;5;10;5;0.375;33.273;45;0.552
7;IronSpearman;3;8;9;0.375;28.622;10;0.552
8;Ranger;4;10;6;0.35;14.768;50;0.48
9;Cryomancer;3;10;7;0.325;23.427;50;0.417
10;WhirlMonk;3;10;7;0.325;29.773;20;0.417
11;BaseRelic;0;20;0;0;0;0;0.01
