PairA;PairB;Synergy_2v2;Synergy_4v4;Synergy_6v6;SynergyAvg
BaseRelic;WhirlMonk;-2.376;19.11;9.161;8.632
Assassin;Cryomancer;-0.368;-12.148;24.777;4.087
Ranger;WhirlMonk;-4.312;1.391;7.83;1.636
IronSpearman;LightShepherd;25.706;-11.929;-9.893;1.295
IronSpearman;Ranger;0.087;3.534;-0.192;1.143
BaseRelic;FlameSwordsman;-15.236;13.882;3.006;0.551
Assassin;Ranger;-2.814;-0.188;4.038;0.346
BaseRelic;Ranger;0;0.94;0;0.313
Ranger;Treant;-1.831;-0.188;0.915;-0.368
Defender;Ranger;-0.433;-1.241;0;-0.558
Cryomancer;IronSpearman;1.235;-1.895;-2.29;-0.983
Cryomancer;WhirlMonk;-3.497;0.338;-0.882;-1.347
Druid;Ranger;-0.433;-2.68;-1.019;-1.377
BaseRelic;LightShepherd;0;-6.46;0.039;-2.14
FlameSwordsman;LightShepherd;2.648;-14.163;1.123;-3.464
LightShepherd;Ranger;-16.146;2.353;2.044;-3.916
BaseRelic;Druid;0;-12.427;-0.057;-4.161
Cryomancer;Ranger;2.102;-15.652;-6.669;-6.74
BaseRelic;Cryomancer;0;-12.835;-7.395;-6.743
IronSpearman;WhirlMonk;-24.838;3.561;-1.448;-7.575
Cryomancer;Druid;-7.376;-11.525;-4.668;-7.856
BaseRelic;IronSpearman;-34.545;8.756;1.944;-7.949
Cryomancer;FlameSwordsman;-29.955;-5.532;8.432;-9.018
Cryomancer;Treant;-7.376;-14.92;-6.41;-9.568
Druid;Treant;-4.926;-11.774;-12.236;-9.645
Cryomancer;Defender;-9.564;-14.43;-5.254;-9.749
Cryomancer;LightShepherd;-23.088;-10.004;1.073;-10.673
Assassin;LightShepherd;-16.073;-11.836;-6.115;-11.342
BaseRelic;Treant;-32.479;-1.948;0;-11.476
Assassin;Druid;-29.286;-9.913;4.266;-11.644
Assassin;BaseRelic;-23.81;-12.665;0;-12.158
FlameSwordsman;Ranger;-30.446;-1.88;-4.231;-12.185
FlameSwordsman;WhirlMonk;-41.131;1.72;1.673;-12.579
Druid;WhirlMonk;-25.715;-4.207;-10.634;-13.518
Defender;Druid;-11.383;-18.946;-10.869;-13.733
Druid;IronSpearman;-26.577;-8.259;-7.557;-14.131
Druid;FlameSwordsman;-31.403;-3.9;-10.58;-15.294
Druid;LightShepherd;-15.713;-18.546;-18.552;-17.603
LightShepherd;Treant;-9.343;-23.706;-22.052;-18.367
Defender;LightShepherd;-14.732;-22.452;-18.167;-18.451
Assassin;WhirlMonk;-41.385;-18.591;4.551;-18.475
LightShepherd;WhirlMonk;-23.372;-13.291;-20.577;-19.08
Assassin;IronSpearman;-63.084;-14.532;17.628;-19.996
IronSpearman;Treant;-51.264;-6.504;-7.17;-21.646
FlameSwordsman;IronSpearman;-55.004;-13.608;2.896;-21.905
BaseRelic;Defender;-52.093;-9.428;-5.4;-22.307
Assassin;FlameSwordsman;-48.244;-20.711;-0.425;-23.127
Assassin;Treant;-43.781;-25.035;-2.548;-23.788
Treant;WhirlMonk;-42.506;-11.362;-17.937;-23.935
Defender;IronSpearman;-42.081;-18.349;-16.49;-25.64
Assassin;Defender;-39.686;-34.096;-6.873;-26.885
Defender;FlameSwordsman;-41.851;-23.828;-15.939;-27.206
FlameSwordsman;Treant;-60.417;-16.602;-8.437;-28.485
Defender;WhirlMonk;-47.934;-17.477;-28.358;-31.256
Defender;Treant;-66.752;-43.791;-44.517;-51.687
