Left \ Right;Antimage;Arcanist;Assassin;BaseRelic;Cryomancer;Defender;Dreameater;Druid;Emberkeeper;FlameSwordsman;Frostbound;Hemomancer;IronSpearman;LightShepherd;Necromancer;Nightblade;Ranger;TrashArcher;TrashBonecaller;TrashBrawler;TrashCutthroat;TrashHerbalist;TrashHexer;TrashShieldbearer;Treant;WaterMonk;WhirlMonk
Antimage;-;L;L;W 42%;W 13%;L;L;L;L;L;L;W 32%;L;L;L;L;L;W 21%;L;W 32%;W 42%;W 34%;D 13%;W 22%;L;L;L
Arcanist;W 35%;-;W 39%;W 55%;W 40%;W 15%;W 12%;W 27%;W 23%;W 36%;W 10%;W 50%;W 31%;W 25%;W 20%;W 18%;W 34%;W 41%;W 46%;W 51%;W 57%;W 54%;W 41%;W 49%;W 36%;W 5%;W 31%
Assassin;W 37%;L;-;W 45%;W 9%;D 2%;L;W 31%;D 2%;W 7%;L;W 55%;D 1%;W 46%;D 4%;L;D 5%;W 61%;W 58%;W 22%;W 43%;W 56%;W 35%;D 3%;D 2%;D 5%;D 28%
BaseRelic;L;L;L;-;L;L;L;L;L;L;L;W 6%;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
Cryomancer;L;L;L;W 42%;-;L;L;L;L;L;L;W 34%;L;L;L;L;L;W 21%;W 22%;W 32%;W 44%;W 31%;W 17%;L;L;L;L
Defender;W 58%;L;D 36%;W 64%;W 45%;-;L;W 42%;W 49%;W 53%;W 38%;W 56%;W 53%;L;W 53%;L;W 54%;W 53%;W 63%;W 61%;W 62%;W 65%;W 59%;W 58%;W 36%;W 41%;W 53%
Dreameater;W 37%;L;W 22%;W 53%;W 38%;W 3%;-;W 22%;W 20%;W 15%;W 5%;W 50%;W 4%;L;L;W 4%;W 28%;W 41%;W 47%;W 48%;W 50%;W 52%;W 40%;W 47%;W 29%;L;W 4%
Druid;W 26%;L;L;W 48%;W 21%;L;L;-;D 2%;D 31%;L;W 40%;L;L;L;L;W 22%;W 34%;W 38%;W 42%;W 52%;W 45%;D 32%;W 33%;L;L;D 19%
Emberkeeper;W 6%;L;D 28%;W 46%;W 24%;L;L;D 29%;-;W 34%;L;W 42%;L;L;L;L;W 12%;W 32%;W 36%;W 41%;W 51%;W 44%;D 34%;W 35%;L;L;D 15%
FlameSwordsman;W 15%;L;L;W 42%;W 10%;L;L;D 1%;L;-;L;W 35%;L;L;L;L;D 1%;W 26%;W 39%;W 30%;W 43%;W 39%;D 20%;W 25%;D 1%;L;D 3%
Frostbound;W 53%;L;W 53%;W 62%;W 49%;L;L;W 38%;W 37%;W 54%;-;W 62%;W 32%;L;L;W 35%;W 42%;W 57%;W 58%;W 56%;W 63%;W 68%;W 53%;W 48%;W 38%;L;W 34%
Hemomancer;L;L;L;L;L;L;L;L;L;L;L;-;L;L;L;L;L;L;L;L;W 10%;L;L;L;L;L;L
