Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;WaterMonk;50;0;2;98.077;46.75;96.154;23.095;3.846;3.846;2137.696;1386.91;0;3284.57;0;337.23;0;0.038;5;0.169;23.192;52.444;0;0;1316.589;41.88;2.885;14.423;0
2;Defender;48;2;2;94.231;47.585;88.462;24.271;3.846;3.846;1287.108;2432.191;0;1160.735;0;1596.357;0;1.724;1.769;0.415;3.538;6.895;0;0;640.663;19.671;0;0;0
3;Assassin;42;4;6;86.538;35.392;92.308;21.888;11.538;11.538;1871.541;904.019;0;290.604;0;150.698;5.635;0;0;0.231;0;0;0;0;0;0;0;0;0
4;Treant;44;6;2;86.538;34.66;84.615;27.928;3.846;7.692;1546.445;1918.162;28.29;290.604;0;1744.017;0;0;0;0.338;0;0;0;0;0;0;0;0;0
5;Nightblade;44;6;2;86.538;34.597;76.923;19.378;0;0;2224.508;1122.248;0;290.604;0;160.418;0;0;0;0.038;17.269;93.456;17.269;0;0;0;0;0;0
6;Dreameater;42;10;0;80.769;27.669;80.769;26.784;0;0;2461.269;572.48;0;125.644;0;33.102;0;8.278;2.115;0.038;4.231;16.556;2.115;0;0;0;0;0;0
7;LightShepherd;40;10;2;78.846;49.779;80.769;26.333;3.846;3.846;1246.154;313.925;0;96.267;52.776;25.922;0;0;0;0;0;0;0;2302.766;0;66.648;2.904;0;0.654
8;IronSpearman;36;14;2;71.154;37.9;53.846;24.607;3.846;3.846;1949.903;1632.876;0;34.262;0;628.999;0;0;1.577;0.169;1.577;1.572;0;0;79.31;2.411;0;0;0
9;Frostbound;36;16;0;69.231;40.681;50;20.953;0;0;1832.081;1719.751;0;26.645;0;461.886;0;0.346;0.346;0.154;12.385;0.346;0;0;0;0;0;0;0
10;Arcanist;34;18;0;65.385;25.488;65.385;23.341;0;0;2376.526;764.799;0;16.221;0;42.199;0.308;0;0;0.231;44.712;263.795;0;0;46.154;1.977;0;0;0
11;Ranger;30;20;2;59.615;35.642;61.538;21.659;3.846;3.846;2050.695;653.398;0;7.757;0;34.015;0;0;0;0.385;5.673;28.079;0;0;0;0;0;0;0
12;WhirlMonk;26;16;10;59.615;38.879;57.692;27.202;19.231;23.077;1450.463;1788.712;0;7.757;0;421.325;0;0.649;2.769;0.154;0.846;0.326;0;0;0;0;0;0;0
13;Antimage;28;20;4;57.692;36.875;50;25.769;3.846;3.846;984.985;2489.264;0;6.055;0;980.715;0.308;0;0;0.185;3.923;0;0;0;0;0;0;0;0
14;FlameSwordsman;24;24;4;50;30.788;15.385;29.675;3.846;7.692;1142.52;1514.341;0;2.167;0;505.719;0;0;0;0;32.538;62.199;12.538;0;0;0;0;0;0
15;TrashShieldbearer;24;26;2;48.077;33.053;30.769;25.835;0;0;601.664;2383.33;0;1.652;0;949.54;0;0;0;0.038;0;0;0;0;437.007;16.915;0;0;0
16;Cryomancer;22;30;0;42.308;35.105;42.308;22.685;0;0;1932.263;857.346;0;0.694;0;42.093;0;0.423;0.385;0.246;17.5;0.423;0;0;0;0;0;0;0
17;TrashArcher;22;30;0;42.308;25.543;42.308;21.775;0;0;1629.68;645.561;0;0.694;0;37.234;0;0;0;0.154;0;0;0;0;0;0;0;0;0
18;Necromancer;17;35;0;32.692;24.756;32.692;32.71;0;5.769;755.031;1062.109;0;0.127;0;42.817;0;0;0;0.192;0;0;0;0;51.538;1.576;0.808;9.692;0
19;Emberkeeper;16;36;0;30.769;30.91;30.769;33.935;0;7.692;1487.309;1179.999;0;0.087;137.135;74.754;0;0;0;0.005;0;0;0;183.135;0;5.397;24.615;24.615;0.615
20;Druid;15;37;0;28.846;31.759;28.846;26.958;0;1.923;1537.699;1046.439;0;0.059;27.692;77.288;0;0;0;0.208;10.115;40.117;10.115;64.615;0;2.397;0.231;0.692;0
21;TrashHerbalist;12;40;0;23.077;22.87;23.077;27.37;0;0;376.335;988.416;0;0.016;323.595;65.008;0;0;0;0.192;0;0;0;1092.056;0;39.9;4.269;0;0
22;TrashBrawler;8;42;2;17.308;28.001;7.692;22.927;3.846;3.846;526.792;1449.949;0;0.004;0;283.805;0;0;0;0;0;0;0;0;0;0;0;0;0
23;TrashHexer;6;42;4;15.385;14.738;19.231;20.978;7.692;7.692;574.184;887.857;0;0.003;0;79.591;0;0;0;0.015;2.519;15.049;0;0;0;0;0;0;0
24;TrashCutthroat;6;44;2;13.462;22.605;7.692;20.463;3.846;3.846;470.735;1108.686;0;0.002;0;112.427;0;0;0;0;0;0;0;0;0;0;0;0;0
25;TrashBonecaller;2;48;2;5.769;6.161;7.692;25.009;3.846;7.692;172.018;967.481;0;0;0;62.758;0;0;0;0.015;0;0;0;0;0;0;0;0;0
26;Hemomancer;2;50;0;3.846;6.99;3.846;21.722;0;3.846;1551.764;1447.606;0;0;278.69;85.68;0;0;0;0.069;0.231;0.692;0.231;278.69;0;12.83;0;0;0
27;BaseRelic;0;50;2;1.923;0;0;18.199;3.846;3.846;238.179;1065.197;0;0;0;150.711;0;0;0;0;0;0;0;0;0;0;0;0;0
