Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
Defender;Tank;Treant;W;34.307;0;34.307;36.567
Arcanist;Ranged;Ranger;W;22.666;0;22.666;43.617
Cryomancer;Ranged;Ranger;timeout/W;14.126;2.243;11.883;221.25
WaterMonk;Bruiser;IronSpearman;timeout/W;10.199;7.386;2.813;136.15
LightShepherd;Healer;—;timeout;12.78;12.78;0;240
Assassin;Assassin;—;timeout;12.78;12.78;0;240
Treant;Tank;Treant;timeout;12.78;12.78;0;240
TrashHerbalist;Healer;—;timeout;12.78;12.78;0;240
TrashCutthroat;Assassin;—;timeout;12.78;12.78;0;240
Emberkeeper;Support;Emberkeeper;timeout;12.78;12.78;0;240
FlameSwordsman;Assassin;—;timeout;12.78;12.78;0;240
Ranger;Ranged;Ranger;timeout;12.78;12.78;0;240
Nightblade;Assassin;—;timeout;12.78;12.78;0;240
IronSpearman;Bruiser;IronSpearman;timeout;12.78;12.78;0;240
WhirlMonk;Bruiser;IronSpearman;timeout;1.177;5.091;-3.914;240
Druid;Support;Emberkeeper;L;0;8.121;-8.121;52
Frostbound;Bruiser;IronSpearman;L;0;16.059;-16.059;32.35
TrashShieldbearer;Tank;Treant;L;0;16.072;-16.072;32.867
Dreameater;Ranged;Ranger;timeout;2.698;18.885;-16.187;240
Necromancer;Support;Emberkeeper;timeout/L;0.823;18.564;-17.74;133.767
Hemomancer;Ranged;Ranger;L;0;19.98;-19.98;29.133
TrashArcher;Ranged;Ranger;L;0;25.168;-25.168;27.517
BaseRelic;Bruiser;IronSpearman;L;0;27.783;-27.783;31.533
Antimage;Tank;Treant;L;0;28.284;-28.284;25.867
TrashBrawler;Bruiser;IronSpearman;L;0;31.852;-31.852;28.7
TrashHexer;Support;Emberkeeper;L;0;35.092;-35.092;27.267
TrashBonecaller;Support;Emberkeeper;L;0;39.669;-39.669;27.567
