Relic;TTD_solo;EHP_solo;HpLeft_solo%;TTD_focus3;EHP_focus3;HpLeft_focus3%
Assassin;50.3;1500;0;12.3;1500;0
BaseRelic;33.2;2040;0;11.2;2040;0
Cryomancer;24.2;1301.887;0;7.267;1301.887;0
Defender;159.6;4997.647;0;33.6;3480;0
Druid;28.367;1333.333;0;8.333;1333.333;0
FlameSwordsman;37.2;2018.119;0;14.233;2004.77;0
IronSpearman;48.2;2027.586;0;16.2;2027.586;0
LightShepherd;218.5;12166.667;0;10.333;1833.333;0
Ranger;24.367;1339.286;0;8.233;1339.286;0
Treant;130.2;3013.2;0;37.267;3016.864;0
WhirlMonk;45.233;2016;0;14.3;2016;0
