Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Defender;18;0;2;0.95;41.788;90;28.848;10;10;1231.187;3127.586;0;20.144;0;2105.434;0;2.15;4.3;4.4;8.6;15.05;0;0;0;0;0
2;Treant;10;2;8;0.7;30.251;80;39.322;40;40;2351.809;2463.359;37.547;3.067;0;2569.741;0;0;0;6.2;0;0;0;0;0;0;0
3;Assassin;10;4;6;0.65;40.453;80;28.686;30;30;2355.926;1259.263;0;2.37;0;243.373;6.4;0;0;3.84;0;0;0;0;0;0;0
4;IronSpearman;10;4;6;0.65;18.147;20;29.267;30;30;2012.61;2040.231;0;2.37;0;812.764;0;0;0;2.88;0;0;0;0;0;0;0
5;WhirlMonk;6;2;12;0.6;19.298;50;28.867;60;60;1941.416;1985.758;0;1.854;0;488.802;0;1;7;2.3;0;0;0;0;0;0;0
6;Druid;4;4;12;0.5;15.556;70;31.517;60;60;1805.968;1087.804;0;1.153;0;80.307;0;0;0;3;10.1;40.4;10.1;66;0.4;1.2;0
7;Cryomancer;6;8;6;0.45;17.157;60;39.595;30;30;2952.816;1124.453;0;0.909;0;59.441;0;89.8;26.4;0.1;26.4;89.8;0;0;0;0;0
8;LightShepherd;2;6;12;0.4;29.477;70;26.917;60;60;1330;827.987;0;0.712;220.028;60.975;0;0;0;2;0;0;0;2162.706;0;0;0
9;FlameSwordsman;4;10;6;0.35;5.2;40;28.181;30;30;1434.727;1459.431;0;0.551;0;548.152;0;0;0;0.88;28.4;53;10.6;0;0;0;0
10;Ranger;2;12;6;0.25;17.15;40;29.605;30;30;2541.746;1281.689;0;0.309;0;72.471;0;0;0;2.85;15.1;75.5;0;0;0;0;0
11;BaseRelic;0;20;0;0;0;0;27.23;0;0;927.675;2067.455;0;0.012;0;0;0;0;0;0.88;0;0;0;0;0;0;0
