Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
Druid;Support;Emberkeeper;W;26;0;26;38.8
IronSpearman;Bruiser;Frostbound;W;16.059;0;16.059;32.35
Arcanist;Ranged;Ranger;timeout;13.487;0.431;13.056;240
Cryomancer;Ranged;Ranger;W;6.886;0;6.886;42.6
Necromancer;Support;Emberkeeper;L/W;7.384;5.092;2.292;67.533
LightShepherd;Healer;—;L/W;0.619;0.619;0;115.833
Assassin;Assassin;—;L/W;0.619;0.619;0;115.833
Treant;Tank;Treant;L/W;0.619;0.619;0;115.833
TrashHerbalist;Healer;—;L/W;0.619;0.619;0;115.833
TrashCutthroat;Assassin;—;L/W;0.619;0.619;0;115.833
Emberkeeper;Support;Emberkeeper;L/W;0.619;0.619;0;115.833
FlameSwordsman;Assassin;—;L/W;0.619;0.619;0;115.833
Frostbound;Bruiser;Frostbound;L/W;0.619;0.619;0;115.833
Ranger;Ranged;Ranger;L/W;0.619;0.619;0;115.833
Nightblade;Assassin;—;L/W;0.619;0.619;0;115.833
WaterMonk;Bruiser;Frostbound;L/W;0.021;4.666;-4.644;76.783
WhirlMonk;Bruiser;Frostbound;L;0;10.88;-10.88;37.4
Antimage;Tank;Treant;L;0;20.855;-20.855;42.133
TrashArcher;Ranged;Ranger;L;0;24.028;-24.028;32.533
Hemomancer;Ranged;Ranger;L;0;24.476;-24.476;26.467
Dreameater;Ranged;Ranger;L;0;27.354;-27.354;33.333
TrashHexer;Support;Emberkeeper;L;0;27.66;-27.66;29.367
Defender;Tank;Treant;L;0;27.876;-27.876;24.95
TrashBonecaller;Support;Emberkeeper;L;0;33.417;-33.417;30.667
TrashBrawler;Bruiser;Frostbound;L;0;34.776;-34.776;26.033
BaseRelic;Bruiser;Frostbound;L;0;36.32;-36.32;25.3
TrashShieldbearer;Tank;Treant;L;0;37.565;-37.565;22.2
