PairA;PairB;Synergy_2v2;Synergy_4v4;Synergy_6v6;SynergyAvg
Assassin;TrashShieldbearer;49.555;-0.986;2.989;17.186
FlameSwordsman;TrashShieldbearer;23.138;21.691;0;14.943
TrashShieldbearer;WhirlMonk;17.873;12.748;-4.338;8.761
IronSpearman;Ranger;0.492;17.862;6.987;8.447
Antimage;Assassin;26.613;-5.446;0;7.056
Frostbound;TrashShieldbearer;8.153;10.861;1.469;6.827
Defender;TrashHerbalist;18.191;6.999;-5.581;6.537
Assassin;Defender;22.311;-15.547;9.675;5.48
Druid;FlameSwordsman;0;12.46;3.485;5.315
Assassin;Cryomancer;20.819;-4.932;0;5.296
Frostbound;Ranger;-0.071;9.597;5.849;5.125
Defender;Druid;19.631;-7.557;1.919;4.665
Assassin;WhirlMonk;25.63;-11.577;-0.885;4.39
Assassin;Necromancer;33.61;-26.312;5.144;4.147
Antimage;FlameSwordsman;11.809;0;0;3.936
IronSpearman;TrashShieldbearer;0.827;20.382;-11.731;3.16
FlameSwordsman;LightShepherd;-4.661;12.16;1.449;2.983
Emberkeeper;Nightblade;12.826;-4.742;0.381;2.822
Emberkeeper;Ranger;-4.174;9.119;2.528;2.491
Antimage;Nightblade;24.596;-10.545;-7.436;2.205
Necromancer;Ranger;2.4;1.377;2.115;1.964
Assassin;TrashHerbalist;19.394;-14.076;-0.321;1.666
Antimage;Ranger;3.268;1.63;0;1.633
Ranger;TrashShieldbearer;2.319;1.849;0;1.389
Defender;TrashShieldbearer;4.642;-2.167;1.468;1.314
Nightblade;Ranger;-4.174;5.209;2.903;1.313
Defender;Ranger;-4.174;3.013;4.773;1.204
Ranger;Treant;-2.758;4.288;1.815;1.115
FlameSwordsman;Ranger;-4.174;7.473;0;1.1
Assassin;Ranger;-4.174;7.441;0;1.089
Antimage;WhirlMonk;14.436;-11.263;0;1.058
Defender;FlameSwordsman;2.9;1.364;-1.092;1.058
FlameSwordsman;TrashBonecaller;0;2.907;0;0.969
Assassin;FlameSwordsman;31.614;-28.582;-0.321;0.904
TrashCutthroat;TrashShieldbearer;0;0;1.82;0.607
FlameSwordsman;Necromancer;7.035;-5.251;-0.153;0.543
Druid;Ranger;-4.174;2.676;3.086;0.53
LightShepherd;WhirlMonk;6.701;-8.665;2.905;0.314
Assassin;Emberkeeper;0;-0.354;1.197;0.281
BaseRelic;TrashCutthroat;0;0.417;0;0.139
TrashBrawler;TrashCutthroat;0;0.384;0;0.128
Cryomancer;FlameSwordsman;0;0;0.321;0.107
Emberkeeper;FlameSwordsman;0;-1.958;2.184;0.075
TrashBrawler;TrashShieldbearer;0;0;0;0
Cryomancer;TrashHerbalist;0;0;0;0
BaseRelic;Geomancer;0;0;0;0
Cryomancer;TrashBonecaller;0;0;0;0
BaseRelic;TrashBonecaller;0;0;0;0
Cryomancer;TrashShieldbearer;0;0;0;0
BaseRelic;TrashBrawler;0;0;0;0
BaseRelic;TrashHerbalist;0;0;0;0
Geomancer;TrashBonecaller;0;0;0;0
BaseRelic;Cryomancer;0;0;0;0
Geomancer;TrashBrawler;0;0;0;0
Geomancer;TrashCutthroat;0;0;0;0
Geomancer;TrashHerbalist;0;0;0;0
TrashHerbalist;TrashShieldbearer;0;0;0;0
BaseRelic;TrashShieldbearer;0;0;0;0
Geomancer;TrashShieldbearer;0;0;0;0
Cryomancer;TrashCutthroat;0;0;0;0
TrashBonecaller;TrashBrawler;0;0;0;0
TrashCutthroat;TrashHerbalist;0;0;0;0
TrashBonecaller;TrashCutthroat;0;0;0;0
TrashBonecaller;TrashHerbalist;0;0;0;0
Cryomancer;Geomancer;0;0;0;0
TrashBonecaller;TrashShieldbearer;0;0;0;0
TrashBrawler;TrashHerbalist;0;0;0;0
Cryomancer;TrashBrawler;0;0;0;0
TrashBonecaller;WhirlMonk;0;-0.37;0.174;-0.066
FlameSwordsman;TrashHexer;0;-1.297;0;-0.432
FlameSwordsman;TrashHerbalist;0;-1.32;0;-0.44
FlameSwordsman;TrashCutthroat;0;-1.32;0;-0.44
BaseRelic;FlameSwordsman;0;-1.32;0;-0.44
FlameSwordsman;Geomancer;0;-1.32;0;-0.44
FlameSwordsman;TrashBrawler;0;-1.32;0;-0.44
Cryomancer;TrashHexer;0;-1.618;0;-0.539
TrashBonecaller;TrashHexer;0;-2.362;0;-0.787
TrashBrawler;TrashHexer;0;-2.362;0;-0.787
TrashCutthroat;TrashHexer;0;-2.362;0;-0.787
Geomancer;TrashHexer;0;-2.362;0;-0.787
TrashHerbalist;TrashHexer;0;-2.362;0;-0.787
TrashHexer;TrashShieldbearer;0;-2.362;0;-0.787
BaseRelic;TrashHexer;0;-2.362;0;-0.787
Necromancer;TrashShieldbearer;-1.159;3.954;-5.984;-1.063
Ranger;TrashHexer;-4.174;-0.847;1.701;-1.107
Emberkeeper;TrashShieldbearer;0;-2.435;-0.925;-1.12
FlameSwordsman;TrashArcher;-3.62;0.079;0;-1.18
Geomancer;TrashArcher;-3.62;0;0;-1.207
BaseRelic;TrashArcher;-3.62;0;0;-1.207
TrashArcher;TrashShieldbearer;-3.62;0;0;-1.207
TrashArcher;TrashBonecaller;-3.62;0;0;-1.207
TrashArcher;TrashBrawler;-3.62;0;0;-1.207
TrashArcher;TrashCutthroat;-3.62;0;0;-1.207
TrashArcher;TrashHerbalist;-3.62;0;0;-1.207
Cryomancer;TrashArcher;-3.62;0;0;-1.207
Cryomancer;Defender;-1.685;-0.742;-1.627;-1.352
Geomancer;Ranger;-4.174;0;0;-1.391
Cryomancer;Ranger;-4.174;0;0;-1.391
Ranger;TrashHerbalist;-4.174;0;0;-1.391
Ranger;TrashBrawler;-4.174;0;0;-1.391
Ranger;TrashCutthroat;-4.174;0;0;-1.391
Ranger;TrashBonecaller;-4.174;0;0;-1.391
BaseRelic;Ranger;-4.174;0;0;-1.391
Cryomancer;IronSpearman;-5.397;2.155;-1.047;-1.43
Ranger;WaterMonk;-4.174;-0.464;-0.341;-1.66
Defender;WhirlMonk;7.468;-9.529;-2.972;-1.677
Emberkeeper;Frostbound;0;-3.936;-1.196;-1.711
TrashArcher;TrashHexer;-3.62;-2.362;0.315;-1.889
Druid;Nightblade;13.448;-14.539;-4.746;-1.946
Cryomancer;Frostbound;0;-1.447;-4.548;-1.998
FlameSwordsman;WhirlMonk;10.88;-16.919;0;-2.013
Cryomancer;Emberkeeper;0;-6.056;0;-2.019
Emberkeeper;TrashBrawler;0;-5.235;-0.925;-2.053
Emberkeeper;WhirlMonk;0;-7.579;1.197;-2.127
Assassin;Dreameater;20.163;-30.011;3.163;-2.228
Ranger;WhirlMonk;-2.59;-4.282;0;-2.291
Assassin;Druid;10.794;-14.435;-3.333;-2.325
Emberkeeper;TrashHexer;0;-10.158;3.098;-2.353
Nightblade;TrashShieldbearer;43.771;-34.271;-16.966;-2.488
Cryomancer;Nightblade;0;0;-7.668;-2.556
Ranger;TrashArcher;-7.794;0;0;-2.598
Antimage;Dreameater;4.66;-6.976;-5.637;-2.651
Antimage;Cryomancer;-8.004;0;0;-2.668
Cryomancer;WaterMonk;-4.103;-0.409;-3.573;-2.695
Assassin;TrashBonecaller;0;-11.012;2.824;-2.729
Emberkeeper;TrashArcher;-3.62;-6.075;1.282;-2.804
Emberkeeper;Geomancer;0;-7.795;-0.925;-2.907
Emberkeeper;TrashCutthroat;0;-7.795;-0.925;-2.907
Emberkeeper;TrashHerbalist;0;-7.795;-0.925;-2.907
BaseRelic;Emberkeeper;0;-7.795;-0.925;-2.907
Emberkeeper;TrashBonecaller;0;-7.795;-0.925;-2.907
Dreameater;IronSpearman;0.492;-16.801;7.095;-3.071
Nightblade;TrashBonecaller;0;-3.043;-7.355;-3.466
Arcanist;FlameSwordsman;-7.521;0.713;-3.776;-3.528
Assassin;TrashHexer;0;-13.731;2.824;-3.636
Arcanist;TrashShieldbearer;13.936;3.252;-28.613;-3.808
Antimage;Arcanist;0.772;-5.164;-7.552;-3.981
TrashBrawler;WhirlMonk;4.988;-16.737;-0.37;-4.04
Nightblade;TrashHerbalist;0;-3.242;-9.083;-4.108
Assassin;LightShepherd;-20.021;2.605;5.066;-4.117
IronSpearman;WhirlMonk;25.553;-27.137;-10.77;-4.118
Cryomancer;WhirlMonk;0;-12.807;0;-4.269
Necromancer;WhirlMonk;3.416;-13.68;-2.577;-4.28
TrashHerbalist;WhirlMonk;0;-9.121;-4.338;-4.487
Cryomancer;Treant;-2.698;-1.074;-9.699;-4.49
TrashArcher;WhirlMonk;-3.62;-10.959;0.174;-4.802
Defender;Emberkeeper;-8.026;-5.525;-0.925;-4.825
Antimage;Frostbound;-6.488;-0.569;-7.436;-4.831
TrashHerbalist;WaterMonk;6.42;-11.475;-9.563;-4.873
TrashHexer;WhirlMonk;0;-16.263;0.174;-5.363
Antimage;Emberkeeper;-15.083;-3.07;1.197;-5.652
Emberkeeper;WaterMonk;-4.103;-7.053;-5.807;-5.654
Dreameater;Emberkeeper;-9.205;-8.997;0.953;-5.75
Antimage;WaterMonk;-11.493;-2.301;-3.704;-5.833
Emberkeeper;Treant;-12.644;-4.462;-0.541;-5.882
Cryomancer;Druid;0;-6.474;-12.438;-6.304
Druid;Frostbound;-3.419;-11.713;-4.001;-6.378
IronSpearman;Necromancer;-8.325;-5.248;-5.889;-6.487
Geomancer;WhirlMonk;0;-16.737;-2.924;-6.554
Dreameater;FlameSwordsman;2.632;-22.407;0.062;-6.571
Dreameater;TrashShieldbearer;14.38;-23.682;-10.788;-6.697
Antimage;LightShepherd;-13.325;3.728;-11.017;-6.871
TrashCutthroat;WhirlMonk;0;-16.737;-4.338;-7.025
BaseRelic;WhirlMonk;0;-16.737;-4.338;-7.025
Cryomancer;Necromancer;-13.301;-7.237;-1.058;-7.199
Antimage;Necromancer;-16.271;-2.895;-2.959;-7.375
Assassin;TrashCutthroat;9.935;-31.812;-0.321;-7.399
Dreameater;WhirlMonk;0;-17.273;-5.275;-7.516
Antimage;Geomancer;-22.791;0;0;-7.597
Antimage;BaseRelic;-22.791;0;0;-7.597
Antimage;TrashBrawler;-22.791;0;0;-7.597
Antimage;TrashBonecaller;-22.791;0;0;-7.597
Antimage;TrashHerbalist;-22.791;0;0;-7.597
Antimage;TrashShieldbearer;-22.791;0;0;-7.597
Antimage;TrashCutthroat;-22.791;0;0;-7.597
Defender;TrashBrawler;-6.754;-6.524;-9.824;-7.701
Druid;WhirlMonk;0;-10.702;-12.438;-7.713
Arcanist;Assassin;-1.591;-17.914;-3.776;-7.76
Druid;IronSpearman;-29.697;4.527;1.614;-7.852
Assassin;Frostbound;11.253;-30.719;-4.092;-7.853
Antimage;TrashHexer;-22.791;-1.095;0;-7.962
IronSpearman;LightShepherd;-16.921;-2.481;-4.966;-8.123
Druid;WaterMonk;4.103;-17.636;-10.852;-8.128
Assassin;IronSpearman;-2.549;-42.105;19.808;-8.282
Defender;IronSpearman;-12.738;-1.873;-10.695;-8.435
Treant;WhirlMonk;-0.617;-8.804;-15.966;-8.462
Nightblade;TrashHexer;0;-5.443;-20.294;-8.579
Druid;TrashShieldbearer;0;-13.353;-12.438;-8.597
Defender;TrashHexer;-18.962;-4.56;-2.761;-8.761
Assassin;TrashArcher;-3.62;-22.679;0.013;-8.762
Defender;TrashArcher;-12.96;-4.029;-9.324;-8.771
Antimage;TrashArcher;-26.411;0;0;-8.804
IronSpearman;TrashArcher;-33.317;18.065;-11.731;-8.994
Assassin;TrashBrawler;0;-27.172;0.02;-9.051
FlameSwordsman;Nightblade;19.391;-43.978;-3.208;-9.265
Nightblade;TrashArcher;-3.62;-14.425;-10.208;-9.418
Druid;TrashHerbalist;0;-16.115;-12.438;-9.518
Arcanist;Emberkeeper;-21.131;-6.348;-1.09;-9.523
