Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;Buffs;BuffSec;Cleanses
1;Arcanist;50;2;0;0.962;32.615;96.154;19.003;0;0;3330.863;358.231;0;1375.776;0;19.628;0.231;0;0;0.038;33.308;198.067;0;0;0;0;0
2;WaterMonk;46;2;4;0.923;48.866;92.308;21.668;7.692;7.692;2422.914;1177.722;0;646.994;0;287.224;0;0.192;4.923;0.031;26.038;64.282;0;0;4;20;0
3;Frostbound;46;4;2;0.904;46.016;73.077;18.129;3.846;3.846;2715.104;1574.733;0;473.52;0;417.575;0;0.269;0.269;0.154;16.692;0.269;0;0;0;0;0
4;Defender;44;6;2;0.865;47.988;84.615;24.624;3.846;3.846;1258.32;2553.213;0;271.603;0;1622.549;0;1.724;1.769;0.338;3.538;6.895;0;0;0;0;0
5;Necromancer;43;8;1;0.837;33.653;84.615;27.701;1.923;1.923;1664.909;374.073;0;186.023;0;16.966;0;0;0;0.019;0;0;0;0;0.769;9.231;0
6;Assassin;34;7;11;0.76;38.025;86.538;22.583;21.154;21.154;1676.26;1005.996;0;73.694;0;169.854;5.654;0;0;0.231;0;0;0;0;0;0;0
7;Nightblade;38;12;2;0.75;35.053;69.231;19.137;0;0;2145.641;1198.382;0;65.92;0;170.869;0;0;0;0.038;16.423;88.841;16.423;0;0;0;0
8;Treant;38;12;2;0.75;35.877;73.077;28.993;3.846;7.692;1508.864;2051.146;30.183;65.92;0;1795.269;0;0;0;0.415;0;0;0;0;0;0;0
9;LightShepherd;38;14;0;0.731;48.231;73.077;26.521;0;0;1238.462;400.024;0;52.781;51.294;31.207;0;0;0;0;0;0;0;2305.712;2.885;0;0.577
10;Dreameater;36;16;0;0.692;29.628;69.231;25.476;0;0;2324.808;650.828;0;33.775;0;36.133;0;7.663;1.962;0.038;3.923;15.326;1.962;0;0;0;0
11;IronSpearman;32;18;2;0.635;38.397;50;25.778;3.846;3.846;1980.143;1681.159;0;16.973;0;640.134;0;0;1.635;0.208;1.635;1.629;0;0;0;0;0
12;WhirlMonk;26;20;6;0.558;35.841;50;26.38;11.538;15.385;1373.864;1839.2;0;6.486;0;437.72;0;0.695;2.923;0.154;0.962;0.372;0;0;0;0;0
13;Antimage;26;22;4;0.538;36.968;46.154;24.515;3.846;3.846;922.895;2522.455;0;5.061;0;1010.858;0.192;0;0;0.185;3.769;0;0;0;0;0;0
14;Ranger;26;24;2;0.519;36.447;53.846;21.551;3.846;3.846;1996.797;759.244;0;3.935;0;37.318;0;0;0;0.385;5.442;26.925;0;0;0;0;0
15;TrashShieldbearer;24;26;2;0.481;29.857;26.923;24.998;0;0;575.506;2386.945;0;2.339;0;948.31;0;0;0;0.038;0;0;0;0;0;0;0
16;FlameSwordsman;22;26;4;0.462;31.735;19.231;28.872;3.846;7.692;1062.39;1504.78;0;1.781;0;499.941;0;0;0;0;30.462;57.968;11.692;0;0;0;0
17;Cryomancer;20;30;2;0.404;35.449;38.462;21.559;3.846;3.846;1880.926;910.725;0;0.727;0;45.419;0;0.385;0.346;0.246;17.154;0.385;0;0;0;0;0
18;TrashArcher;18;34;0;0.346;28.208;34.615;20.702;0;0;1515.046;689.984;0;0.252;0;41.13;0;0;0;0.154;0;0;0;0;0;0;0
19;Emberkeeper;16;36;0;0.308;30.236;30.769;29.856;0;3.846;1293.622;1165.391;0;0.113;111.25;72.818;0;0;0;0.005;0;0;0;154.827;23.462;23.462;0.538
20;Druid;14;38;0;0.269;29.531;26.923;24.828;0;0;1483.125;1075.217;0;0.048;10.385;79.984;0;0;0;0.208;9.904;39.245;9.904;45;0.231;0.692;0
21;TrashHerbalist;12;40;0;0.231;24.393;23.077;25.176;0;0;353.155;922.894;0;0.019;273.94;59.684;0;0;0;0.192;0;0;0;993.94;4;0;0
22;TrashHexer;8;42;2;0.173;12.58;19.231;20.447;3.846;3.846;559.864;905.325;0;0.004;0;82.53;0;0;0;0.054;1.769;10.549;0;0;0;0;0
23;TrashBrawler;8;42;2;0.173;27.61;5.769;21.347;3.846;3.846;509.85;1460.59;0;0.004;0;287.113;0;0;0;0;0;0;0;0;0;0;0
24;TrashBonecaller;6;46;0;0.115;8.817;11.538;23.124;0;0;317.435;952.842;0;0.001;0;61.076;0;0;0;0.035;0;0;0;0;0;0;0
25;TrashCutthroat;4;48;0;0.077;23.197;3.846;18.771;0;0;431.27;1117.262;0;0;0;113.228;0;0;0;0;0;0;0;0;0;0;0
26;Geomancer;2;50;0;0.038;1.358;3.846;17.324;0;0;1370.367;1127.25;0;0;247.717;67.491;0;0;0;0.069;0.192;0.577;0.192;247.717;0;0;0
27;BaseRelic;0;52;0;0;0;0;18.573;0;0;224.813;1057.38;0;0;0;150.259;0;0;0;0;0;0;0;0;0;0;0
