Rank;Relic;Wins;Losses;Draws;WinRate;TeamHpOnWin%;HeroSurvival%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength
1;Treant;18;2;0;0.9;27.581;90;2163.66;1973.324;46.663;18.87
2;Defender;16;2;2;0.85;28.78;80;1302.517;3261.375;0;12.45
3;Assassin;12;6;2;0.65;33.315;60;2221.773;1136.542;0;3.475
4;FlameSwordsman;12;6;2;0.65;22.895;60;1932.096;1736.483;0;3.475
5;IronSpearman;12;6;2;0.65;23.492;40;2317.309;1868.93;0;3.475
6;WhirlMonk;10;8;2;0.55;29.212;50;1630.519;1799.296;0;1.982
7;Druid;8;8;4;0.5;27.868;50;2427.174;819.151;0;1.493
8;LightShepherd;6;12;2;0.35;32.884;40;1003;1167.328;0;0.585
9;Cryomancer;4;12;4;0.3;22.464;40;2306.476;1164.874;0;0.404
10;Ranger;2;18;0;0.1;39.245;10;1640.744;1212.302;0;0.036
11;BaseRelic;0;20;0;0;0;0;449.884;1240.45;0;0.004
