Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;Nightblade;52;0;0;100;56.727;100;9.572;0;0;1658.254;649.088;0;1889.772;0;89.212;0;0;0;0.038;10.154;56.435;10.154;0;0;0;0;0;0
2;Frostbound;48;2;2;94.231;60.884;96.154;13.071;3.846;3.846;1745.653;859.492;0;164.823;0;217.197;0;1.308;1.154;0.146;11.846;1.308;0;0;0;0;0;0;0
3;WaterMonk;44;6;2;86.538;66.476;88.462;17.371;3.846;3.846;1749.821;1014.612;0;36.364;0;260.892;0;0.962;5;0.454;20.077;44.399;0;0;165.591;6.385;0;0;0
4;Assassin;38;2;12;84.615;75.749;96.154;14.658;23.077;23.077;1532.932;626.946;0;27.487;0;87.198;5.615;0;0;0.531;0;0;0;0;0;0;0;0;0
5;FlameSwordsman;42;6;4;84.615;44.747;88.462;12.646;7.692;7.692;1622.131;960.402;0;27.487;0;244.584;0;0;0;0.223;41.808;74.918;15.385;0;0;0;0;0;0
6;Defender;40;8;4;80.769;72.476;84.615;35.928;7.692;15.385;1652.408;1902.451;0;16.561;0;1091.593;0;2.621;2.654;2.254;5.308;10.481;0;0;670.754;12.992;0;0;0
7;WhirlMonk;34;8;10;75;66.204;84.615;15.556;19.231;19.231;1531.454;1103.261;0;8.445;0;249.546;0;0.585;2.269;1.115;0.654;0.262;0;0;0;0;0;0;0
8;Ranger;36;16;0;69.231;52.467;69.231;13.421;0;0;1390.149;848.319;0;4.62;0;41.273;0;0;0;0.092;1.731;8.627;0;0;0;0;0;0;0
9;Treant;33;15;4;67.308;50.273;71.154;35.688;7.692;17.308;1845.502;1635.54;25.288;3.824;0;1181.442;0;0;0;2.638;0;0;0;0;0;0;0;0;0
10;Arcanist;30;18;4;61.538;44.547;65.385;14.922;7.692;7.692;4526.405;1054.669;0;2.23;0;70.755;1.135;0;0;0.3;42.962;254.226;0;0;119.825;3.717;0;0;0
11;Cryomancer;30;20;2;59.615;47.364;61.538;13.628;3.846;3.846;1260.42;929.658;0;1.877;0;57.275;0;0.654;0.462;0.231;12.5;0.654;0;0;0;0;0;0;0
12;IronSpearman;30;22;0;57.692;56.298;57.692;24.836;0;0;1432.585;1405.819;0;1.585;0;425.035;0;0;0.346;1.646;0.346;0.346;0;0;27.076;1.09;0;0;0
13;Necromancer;25;23;4;51.923;48.454;51.923;47.686;7.692;23.077;715.569;1047.325;0;0.965;0;47.864;0;0;0;0.146;0;0;0;0;33.077;0.529;0.038;0.462;0
14;Antimage;26;26;0;50;56.171;50;39.437;0;9.615;1554.741;2198.531;0;0.82;0;810.796;0.577;0;0;2.292;5.308;0;0;0;0;0;0;0;0
15;Dreameater;14;18;20;46.154;22.859;65.385;52.845;38.462;53.846;1292.742;1140.135;0;0.594;0;72.942;0;16.676;4.192;0.038;8.385;33.351;4.192;0;0;0;0;0;0
16;TrashCutthroat;22;28;2;44.231;48.419;46.154;12.819;3.846;3.846;1100.698;876.833;0;0.505;0;78.276;0;0;0;0.346;0;0;0;0;0;0;0;0;0
17;Emberkeeper;16;30;6;36.538;46.023;42.308;18.078;11.538;11.538;1300.087;1263.857;0;0.263;227;80.948;0;0;0;0.119;0;0;0;227;0;5.196;0;0;0.423
18;TrashShieldbearer;18;32;2;36.538;41.875;38.462;48.141;3.846;19.231;1634.929;2821.16;0;0.263;0;978.491;0;0;0;2.254;0;0;0;0;1003.987;18.083;0;0;0
19;Druid;10;30;12;30.769;31.923;42.308;31.487;23.077;30.769;1376.979;1427.419;0;0.159;261.036;105.81;0;0;0;0.492;11.25;44.326;11.25;261.036;0;3.279;0;0;0
20;TrashArcher;14;36;2;28.846;49.803;30.769;18.643;3.846;7.692;1090.72;825.765;0;0.134;0;49.134;0;0;0;0.192;0;0;0;0;0;0;0;0;0
21;TrashBrawler;12;40;0;23.077;47.334;23.077;22.483;0;0;1146.677;1304.669;0;0.078;0;219.69;0;0;0;1.031;0;0;0;0;0;0;0;0;0
22;LightShepherd;8;36;8;23.077;50.653;30.769;26.373;15.385;23.077;1183.458;1314.356;0;0.078;448.283;100.54;0;0;0;0.385;0;0;0;448.283;0;7.567;0;0;0.269
23;TrashBonecaller;6;38;8;19.231;15.196;26.923;23.324;15.385;19.231;183.98;901.12;0;0.053;0;52.927;0;0;0;0.362;0;0;0;0;0;0;0;0;0
24;Hemomancer;6;44;2;13.462;17.246;15.385;9.915;3.846;3.846;713.728;519.043;0;0.028;202.151;33.484;0;0;0;0.154;0;0;0;202.151;0;10.773;0;0;0
25;TrashHerbalist;4;42;6;13.462;28.131;19.231;33.093;11.538;19.231;776.993;2209.682;0;0.028;1562.126;127.089;0;0;0;1.208;0;0;0;1562.126;0;27.422;0;0;0
26;TrashHexer;0;44;8;7.692;0;15.385;16.952;15.385;19.231;507.643;937.438;0;0.013;0;71.651;0;0;0;0.5;0.846;4.874;0;0;0;0;0;0;0
27;BaseRelic;2;50;0;3.846;33.043;3.846;19.278;0;0;758.976;1052.842;0;0.006;0;130.502;0;0;0;0.654;0;0;0;0;0;0;0;0;0
