Rank;Relic;Wins;Losses;Draws;WinRate%;TeamHpOnWin%;HeroSurvival%;AvgFightSec;Timeout%;Overtime%;AvgDmgDealt;AvgDmgTaken;React%;BTStrength;HealTaken;Mitigated;Evaded;ControlSec;ControlCount;ControlTakenSec;Debuffs;DebuffSec;Dots;HealDone;ShieldHeld;SupportHPS;Buffs;BuffSec;Cleanses
1;WaterMonk;48;2;2;94.231;57.53;92.308;31.385;3.846;3.846;2883.476;1106.545;0;381.143;0;302.737;0;0;6.923;0.031;32.25;73.39;0;0;1921.111;48.748;3.404;17.019;0
2;LightShepherd;46;2;4;92.308;54.729;96.154;37.951;7.692;7.692;1784.327;138.937;0;273.856;48.732;11.115;0;0;0;0;0;0;0;3846.91;0;71.914;4.769;0;0.923
3;Dreameater;46;5;1;89.423;29.81;90.385;45.193;1.923;13.462;3701.749;499.817;0;176.404;0;28.467;0;17.6;4.423;0;8.846;35.2;4.423;0;0;0;0;0;0
4;Arcanist;44;6;2;86.538;20.201;88.462;35.475;3.846;3.846;4479.851;627.401;0;118.001;0;34.92;0.115;0;0;0.154;94.788;565.349;0;0;0.907;0.021;0;0;0
5;Nightblade;44;6;2;86.538;42.608;69.231;34.336;3.846;11.538;3205.035;1025.598;0;118.001;0;142.503;0;0;0;0.192;24.692;134.067;24.692;0;0;0;0;0;0
6;Defender;44;8;0;84.615;50.72;73.077;32.865;0;0;1525.576;3208.9;0;91.359;0;2117.781;0;2.042;2.058;0.308;4.115;8.171;0;0;579.663;17.638;0;0;0
7;Necromancer;35;12;5;72.115;29.106;75;52.554;9.615;23.077;990.923;636.224;0;19.714;0;26.571;0;0;0;0.115;0;0;0;0;49.231;0.698;1.154;13.846;0
8;IronSpearman;34;14;4;69.231;35.307;26.923;44.453;7.692;15.385;2085.033;1987.631;0;14.244;0;792.481;0;0;1.096;0;1.096;1.096;0;0;92.04;1.547;0;0;0
9;Assassin;28;8;16;69.231;42.236;80.769;30.774;30.769;30.769;1726.344;1243.705;0;14.244;0;216.288;6.288;0;0;0.308;0;0;0;0;0;0;0;0;0
10;Treant;32;14;6;67.308;30.501;50;41.629;11.538;19.231;1716.406;2639.02;32.876;11.528;0;2567.21;0;0;0;0.246;0;0;0;0;0;0;0;0;0
11;Frostbound;30;20;2;59.615;35.532;13.462;41.689;3.846;9.615;1923.595;2045.676;0;5.074;0;589.407;0;0.25;0.25;0.015;13.231;0.25;0;0;0;0;0;0;0
12;Emberkeeper;26;17;9;58.654;31.467;63.462;56.594;17.308;34.615;1908.747;1042.707;0;4.586;401.494;61.878;0;0;0;0.369;0;0;0;543.244;0;6.15;67.115;67.115;1.5
13;WhirlMonk;20;15;17;54.808;39.011;63.462;47.384;32.692;42.308;1742.898;1820.172;0;3.057;0;457.144;0;1.196;4.923;0.192;1.808;0.719;0;0;0;0;0;0;0
14;Druid;24;22;6;51.923;34.948;57.692;43.134;11.538;15.385;1946.113;748.025;0;2.248;3.462;55.162;0;0;0;0.346;13.038;51.623;13.038;45;0;0.683;0.269;0.808;0
15;Ranger;22;24;6;48.077;30.218;50;34.246;11.538;11.538;3017.781;925.8;0;1.478;0;47.742;0;0;0;0.192;9.192;45.755;0;0;0;0;0;0;0
16;FlameSwordsman;20;24;8;46.154;30.491;34.615;34.144;15.385;15.385;1332.42;1498.436;0;1.192;0;535.923;0;0;0;0;35.423;65.66;13.231;0;0;0;0;0;0
17;TrashHexer;12;26;14;36.538;29.21;50;33.953;26.923;26.923;836.146;759.719;0;0.375;0;62.759;0;0;0;0;6.615;37.255;0;0;0;0;0;0;0
18;Antimage;17;32;3;35.577;29.473;7.692;34.01;5.769;7.692;856.139;3021.571;0;0.331;0;1149.462;0.385;0;0;0.285;3.192;0;0;0;0;0;0;0;0
19;Cryomancer;18;34;0;34.615;29.859;34.615;37.309;0;0;2811.201;1003.789;0;0.291;0;51.907;0;2.538;2.308;0.192;32.962;2.538;0;0;0;0;0;0;0
20;TrashBonecaller;11;37;4;25;27.244;28.846;47.806;7.692;17.308;248.279;814.939;0;0.07;0;52.708;0;0;0;0.096;0;0;0;0;0;0;0;0;0
21;TrashShieldbearer;12;38;2;25;31.934;3.846;35.731;3.846;7.692;411.962;2360.115;0;0.07;0;935.036;0;0;0;0;0;0;0;0;235.374;5.4;0;0;0
22;TrashArcher;12;39;1;24.038;28.246;19.231;33.205;1.923;1.923;2173.474;819.424;0;0.059;0;53.751;0;0;0;0.038;0;0;0;0;0;0;0;0;0
23;TrashBrawler;8;44;0;15.385;21.473;0;32.363;0;0;519.539;1460.331;0;0.009;0;299.978;0;0;0;0;0;0;0;0;0;0;0;0;0
24;TrashHerbalist;6;46;0;11.538;16.171;11.538;45.604;0;0;535.48;1252.13;0;0.003;555.22;81.523;0;0;0;0.154;0;0;0;1846.374;0;40.487;7.173;0;0
25;TrashCutthroat;2;50;0;3.846;19.259;3.846;29.389;0;0;307.103;1118.194;0;0;0;117.253;0;0;0;0;0;0;0;0;0;0;0;0;0
26;BaseRelic;2;50;0;3.846;3.26;0;31.135;0;0;274.118;1058.568;0;0;0;155.295;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Hemomancer;2;50;0;3.846;12.086;3.846;29.103;0;0;2012.995;1755.344;0;0;144.29;100.296;0;0;0;0.246;0.577;1.731;0.577;144.29;0;4.958;0;0;0
