Relic;DPS_solo;DPS_aoe;AoE_ratio;AutoPhys%;AutoMagic%;Ability%;DoT%;React%;Vuln%;SelfDmg%;aoe_AutoPhys%;aoe_AutoMagic%;aoe_Ability%;aoe_DoT%;aoe_React%
Assassin;154.812;151.2;0.977;100;0;0;0;0;0;0;100;0;0;0;0
BaseRelic;110;110;1;100;0;0;0;0;0;0;100;0;0;0;0
Cryomancer;123.2;123.2;1;0;100;0;0;0;0;0;0;100;0;0;0
Defender;59.95;59.95;1;100;0;0;0;0;0;0;100;0;0;0;0
Druid;60.15;83.25;1.384;33.666;0;0;66.334;0;0;0;24.324;0;0;75.676;0
FlameSwordsman;263.402;287.401;1.091;17.928;53.988;16.49;11.594;0;9.55;7.23;19.224;61.7;8.841;10.235;0
IronSpearman;84;462;5.5;100;0;0;0;0;0;0;54.545;0;45.455;0;0
LightShepherd;50;50;1;100;0;0;0;0;0;0;100;0;0;0;0
Ranger;136.5;136.5;1;100;0;0;0;0;0;0;100;0;0;0;0
Treant;64;64;1;100;0;0;0;0;0;0;100;0;0;0;0
WhirlMonk;112;220;1.964;100;0;0;0;0;0;0;50.909;0;49.091;0;0
