Relic;DPS_solo;DPS_aoe;AoE_ratio;AutoPhys%;AutoMagic%;Ability%;DoT%;React%;Vuln%;SelfDmg%;aoe_AutoPhys%;aoe_AutoMagic%;aoe_Ability%;aoe_DoT%;aoe_React%
Assassin;154.812;151.2;0.977;100;0;0;0;0;0;0;100;0;0;0;0
BaseRelic;110;110;1;100;0;0;0;0;0;0;100;0;0;0;0
Cryomancer;123.2;123.2;1;0;100;0;0;0;0;0;0;100;0;0;0
Defender;59.95;59.95;1;100;0;0;0;0;0;0;100;0;0;0;0
Druid;60.15;83.25;1.384;33.666;0;0;66.334;0;0;0;24.324;0;0;75.676;0
FlameSwordsman;214.883;224.918;1.047;39.606;36.834;9.847;13.714;0;4.781;8.664;42.682;37.934;6.632;12.751;0
IronSpearman;84;630;7.5;100;0;0;0;0;0;0;66.667;0;33.333;0;0
LightShepherd;50;50;1;100;0;0;0;0;0;0;100;0;0;0;0
Ranger;113.1;113.1;1;100;0;0;0;0;0;0;100;0;0;0;0
Treant;64;64;1;100;0;0;0;0;0;0;100;0;0;0;0
WhirlMonk;112;220;1.964;100;0;0;0;0;0;0;50.909;0;49.091;0;0
