Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
Defender;Tank;Treant;W;49.055;0;49.055;33.733
WaterMonk;Bruiser;IronSpearman;W;30.653;0;30.653;32.267
Arcanist;Ranged;Ranger;W;22.666;0;22.666;43.617
Cryomancer;Ranged;Ranger;timeout/W;14.126;2.243;11.883;221.25
LightShepherd;Healer;—;timeout;12.78;12.78;0;240
Assassin;Assassin;—;timeout;12.78;12.78;0;240
Treant;Tank;Treant;timeout;12.78;12.78;0;240
TrashHerbalist;Healer;—;timeout;12.78;12.78;0;240
Emberkeeper;Support;Emberkeeper;timeout;12.78;12.78;0;240
FlameSwordsman;Assassin;—;timeout;12.78;12.78;0;240
TrashCutthroat;Assassin;—;timeout;12.78;12.78;0;240
Ranger;Ranged;Ranger;timeout;12.78;12.78;0;240
IronSpearman;Bruiser;IronSpearman;timeout;12.78;12.78;0;240
Nightblade;Assassin;—;timeout;12.78;12.78;0;240
Druid;Support;Emberkeeper;L;0;1.581;-1.581;175.033
WhirlMonk;Bruiser;IronSpearman;timeout;1.177;5.091;-3.914;240
Frostbound;Bruiser;IronSpearman;L;0;16.059;-16.059;32.35
TrashShieldbearer;Tank;Treant;L;0;16.072;-16.072;32.867
Necromancer;Support;Emberkeeper;timeout/L;0.823;18.564;-17.74;133.767
TrashArcher;Ranged;Ranger;L;0;25.168;-25.168;27.517
BaseRelic;Bruiser;IronSpearman;L;0;27.783;-27.783;31.533
Antimage;Tank;Treant;L;0;28.284;-28.284;25.867
Dreameater;Ranged;Ranger;L;0;31.319;-31.319;26.983
TrashBrawler;Bruiser;IronSpearman;L;0;31.852;-31.852;28.7
Hemomancer;Ranged;Ranger;L;0;31.975;-31.975;26.933
TrashHexer;Support;Emberkeeper;L;0;35.092;-35.092;27.267
TrashBonecaller;Support;Emberkeeper;L;0;39.669;-39.669;27.567
