Relic;Role;Replaces;Outcome;TeamHpLeft%;EnemyHpLeft%;Delta;Seconds
WaterMonk;Bruiser;WhirlMonk;W;49.271;0;49.271;48.3
Arcanist;Ranged;TrashArcher;W;42.687;0;42.687;22.267
Necromancer;Support;Emberkeeper;W;40.624;0;40.624;48.3
Defender;Tank;Treant;W;31.069;0;31.069;30.233
Frostbound;Bruiser;WhirlMonk;W;29.532;0;29.532;48.3
Cryomancer;Ranged;TrashArcher;W;23.442;0;23.442;33.5
Dreameater;Ranged;TrashArcher;W;7.074;0;7.074;45.167
LightShepherd;Healer;—;timeout;11.322;11.322;0;240
Treant;Tank;Treant;timeout;11.322;11.322;0;240
TrashHerbalist;Healer;—;timeout;11.322;11.322;0;240
TrashCutthroat;Assassin;—;timeout;11.322;11.322;0;240
TrashArcher;Ranged;TrashArcher;timeout;11.322;11.322;0;240
Nightblade;Assassin;—;timeout;11.322;11.322;0;240
WhirlMonk;Bruiser;WhirlMonk;timeout;11.322;11.322;0;240
FlameSwordsman;Assassin;—;timeout;11.322;11.322;0;240
Emberkeeper;Support;Emberkeeper;timeout;11.322;11.322;0;240
Assassin;Assassin;—;timeout;11.322;11.322;0;240
IronSpearman;Bruiser;WhirlMonk;L;0;1.476;-1.476;190.733
Ranger;Ranged;TrashArcher;L;0;11.039;-11.039;96.533
Druid;Support;Emberkeeper;L;0;19.322;-19.322;37.7
Antimage;Tank;Treant;L;0;19.504;-19.504;33.167
TrashBonecaller;Support;Emberkeeper;L;0;25.703;-25.703;42.8
TrashHexer;Support;Emberkeeper;L;0;26.322;-26.322;35.067
TrashShieldbearer;Tank;Treant;L;0;26.831;-26.831;27.967
Geomancer;Ranged;TrashArcher;L;0;33.023;-33.023;48.3
TrashBrawler;Bruiser;WhirlMonk;L;0;34.984;-34.984;35.433
BaseRelic;Bruiser;WhirlMonk;L;0;40.931;-40.931;31.933
