Relic;DPS_solo;DPS_aoe;AoE_ratio;AutoPhys%;AutoMagic%;Ability%;DoT%;React%;Vuln%;SelfDmg%;aoe_AutoPhys%;aoe_AutoMagic%;aoe_Ability%;aoe_DoT%;aoe_React%
Antimage;59.95;59.95;1;100;0;0;0;0;0;0;100;0;0;0;0
Arcanist;215.584;212.4;0.985;0;57.831;42.169;0;0;0;0;0;56.497;43.503;0;0
Assassin;144;144;1;100;0;0;0;0;0;0;100;0;0;0;0
BaseRelic;55;55;1;100;0;0;0;0;0;0;100;0;0;0;0
Cryomancer;127.6;127.6;1;0;100;0;0;0;3.448;0;0;100;0;0;0
Defender;70.85;70.85;1;100;0;0;0;0;0;0;100;0;0;0;0
Dreameater;111.367;111.367;1;87.549;0;0;12.451;0;0;0;87.549;0;0;12.451;0
Druid;60.15;83.25;1.384;33.666;0;0;66.334;0;0;0;24.324;0;0;75.676;0
Emberkeeper;82.732;82.732;1;0;100;0;0;0;0;0;0;100;0;0;0
FlameSwordsman;250.722;274.119;1.093;19.021;56.968;12.393;11.618;0;9.04;7.66;20.155;62.161;6.952;10.731;0
Frostbound;301.899;267.6;0.886;49.057;50.943;0;0;0;1.887;0;49.327;50.673;0;0;0
Geomancer;104;104;1;100;0;0;0;0;0;0;100;0;0;0;0
IronSpearman;84;441;5.25;100;0;0;0;0;0;0;76.19;0;23.81;0;0
LightShepherd;50;50;1;100;0;0;0;0;0;0;100;0;0;0;0
Necromancer;79.8;79.8;1;100;0;0;0;0;0;0;100;0;0;0;0
Nightblade;236.939;214.2;0.904;60.465;0;9.302;30.233;0;0;0;63.866;0;10.084;26.05;0
Ranger;136.5;136.5;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashArcher;100;100;1;85;0;15;0;0;0;0;85;0;15;0;0
TrashBonecaller;20;20;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashBrawler;75;75;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashCutthroat;119.25;119.25;1;90.566;0;9.434;0;0;0;0;90.566;0;9.434;0;0
TrashHerbalist;20;20;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashHexer;38.5;38.5;1;100;0;0;0;0;0;0;100;0;0;0;0
TrashShieldbearer;41.25;41.25;1;100;0;0;0;0;0;0;100;0;0;0;0
Treant;64;64;1;100;0;0;0;0;0;0;100;0;0;0;0
WaterMonk;168.224;157.5;0.936;80;20;0;0;0;0;0;80.952;19.048;0;0;0
WhirlMonk;132;156;1.182;90.909;0;9.091;0;0;0;0;76.923;0;23.077;0;0
